,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_kcat,Rxn_genes_rules,Rxn_mW_c,Rxn_mW_m,Rxn_numTMb,Rxn_mW_c_Total,Rxn_mW_m_Total,Rxn_locations_Total,Rxn_count_Tmb_Total
1191,PAPSR2,Phosphoadenylyl-sulfate reductase (glutaredoxin),Cytoplasmic,Cysteine Metabolism,3.5,(b3610 and b2762) or (b0849 and b2762) or (b1064 and b2762) or (b1654 and b2762),37113.0,0,0,"[37113.0, 37661.0, 52326.0, 40855.0]","[0.0, 0.0, 0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 0, 0, 0]"
1192,GRXR,Glutaredoxin reductase,Cytoplasmic,Unassigned,22.0,b1064 or b3610 or b1654 or b0849,9137.0,0.0,0,"[24350.0, 9137.0, 12879.0, 9685.0]","[0.0, 0.0, 0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 0, 0, 0]"
1193,RNDR1b,Ribonucleoside-diphosphate reductase (ADP) (glutaredoxin),Cytoplasmic,Nucleotide Salvage Pathway,8.115,((b2675 and b2676) and b1064) or ((b2675 and b2676) and b3610) or (b0849 and (b2675 and b2676)) or ((b2675 and b2676) and b1654),126059.0,0.0,0,"[141272.0, 126059.0, 126607.0, 129801.0]","[0.0, 0.0, 0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 0, 0, 0]"
1194,RNDR2b,Ribonucleoside-diphosphate reductase (GDP) (glutaredoxin),Cytoplasmic,Nucleotide Salvage Pathway,8.115,(b0849 and (b2675 and b2676)) or ((b2675 and b2676) and b1064) or ((b2675 and b2676) and b1654) or ((b2675 and b2676) and b3610),126059.0,0.0,0,"[126607.0, 141272.0, 129801.0, 126059.0]","[0.0, 0.0, 0.0, 0.0]","['Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic', 'Cytoplasmic']","[0, 0, 0, 0]"
1195,FACOAE181,Fatty-acid-CoA thioesterase (octadecenoate),Cytoplasmic,Cell Envelope Biosynthesis,39.26175,b0452,31966.0,0,0,[31966.0],[0.0],['Cytoplasmic'],[0]
1196,FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),Cytoplasmic,Cell Envelope Biosynthesis,3.7,b0452,31966.0,0,0,[31966.0],[0.0],['Cytoplasmic'],[0]
1197,FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),Cytoplasmic,Cell Envelope Biosynthesis,6.2,b0452,31966.0,0,0,[31966.0],[0.0],['Cytoplasmic'],[0]
1198,CPGNR1,Coprogen(Fe(III)) reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1199,CPGNR2,Coprogen(Fe(III)) reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
1200,CPGNR3,Coprogen(Fe(III)) reductase,Cytoplasmic,Inorganic Ion Transport and Metabolism,nan,,0,0,0,[0],[0],['Cytoplasmic'],[0]
