,forward,reverse
PTRCORNt7pp,22.0,22.0
GLYBt2pp,22.0,
DAGK180,10.40333333,
ICHORS_copy1,0.35,
GALt2pp,22.0,
2AGPE141tipp,100000000.0,
FA161ACPHi,0.004,
PTRCTA,278.0,
CDGS,,
RMPA,38.3,9.1
MEOHtex,100000000.0,100000000.0
FACOAE181,39.26175,
KARA2,3.8,0.00417
HG2tex,100000000.0,100000000.0
MALS,48.1,
MEPNabcpp,95.19583333,
PAPA140pp,152.0,
TSULtex,100000000.0,100000000.0
DHFS,1.7,
3SLAR,213.4339433,
MELIBt2pp,22.0,
4ABZGLUH,14.75,1515.25
UACGAMPpp,405.0,
SLNTtex,100000000.0,100000000.0
DDPA,122.0,
AM4PCP,160.0,
PAPSR2,3.5,
VPAMTr,13.67,19.0
2DGULRx,60503.775,
SPMDtex,100000000.0,100000000.0
FACOAL181t2pp,0.029,
NTD1,5.2,
QUINDHyi,0.0825,
ADSK,50.0,
G6Pt6_2pp,22.0,
LADGMDH,22.0,
UDCPDPS,2.1762,
TDPADGAT,32.4876,
ADPRDP,11.6,
DALAt2pp,22.0,
ACPPAT181,1500.0,
NTPTP1,4000.0,
MPTG,36.57,
2DGLCtex,100000000.0,100000000.0
EAR40x,5.3,
METt3pp,22.0,
5DGLCNR,7.3275,
NADDP,19.3,
TMPK,0.063,
FEOXAMtonex,22.0,
BPNT,11.4,
DADK,879.0,783.0
23CGMPtex,100000000.0,100000000.0
GGPTRCS,5.94,
PYDAMtpp,,
RNDR3,8.115,
ACOAD8f,5.13,5.13
PGSA140,1.0,
PGP180abcpp,95.19583333,
TRPtipp,22.0,
TRPS1,2.1925,
UDPKAAT,339.905,278.0
NTD4,202.0,
ICHORT,10.0,
CDAPPA180,90.13177273,
ARGDCpp,2.296666667,
DADNt2pp,22.0,
ATPS4rpp,79.0,285.0
SO3tex,100000000.0,100000000.0
Ftpp,22.0,
CRNt2rpp,22.0,22.0
P5CR,148.3333333,
ADOCBLS,0.67,
HEX1,110.075,
NTD10,9.84,
GLCtex_copy1,100000000.0,
NTRIR3pp,700.0,
ARBTNtonex,,
NTP11,38.49325,
DHPTDCs2,,
CLtex,100000000.0,100000000.0
Kabcpp,95.19583333,
APG3PAT160,166.8,
SKMt2pp,22.0,
2HESR,8.4,
CDAPPA181,90.13177273,
TTRCYCtex,100000000.0,100000000.0
FEENTERR1,,
MALt2_2pp,22.0,
NTD12pp,0.24,
UPPRT,0.65,
ALPATE160pp,46.80901367,
CBIuabcpp,0.845,
3OAS120,0.356,
GLCRtex,100000000.0,100000000.0
DSBAO2,22.0,
AGMtex,100000000.0,100000000.0
PSERT,1.54,
CTBTCAL2,11.5895,
CINNDO,4.5,
LPLIPAL2ATE160,1016.0,
CPPPGO2,900.0,
EAR180x,5.3,
GNP,749.8136875,
LCADi,761.5,
GAPD,70.0,73.56
FRD2,250.0,
MPTS,85.46666667,
HCINNMtex,100000000.0,100000000.0
ADNUC,0.5827,
ACM6PH,5.7,
S2FE2ST,22.0,
DADA,1.42,
PItpp,100000000.0,
TTDCAtexi,100000000.0,
PYNP2r,150.0,56.0
KDOPS,6.1,
CDAPPA120,90.13177273,
GTPDPDP,0.023,
PROt4pp,22.0,
PAPA160pp,184.0,
GLCTR1,4.357545811,
MSO3tex,100000000.0,100000000.0
ASNtex,100000000.0,100000000.0
BSORy,25.34181818,
2AGPA140tipp,100000000.0,
2AGPG161tipp,100000000.0,
PG120abcpp,95.19583333,
ALR4x,3.3,
ADOCBLtonex,22.0,
LPLIPAL1G140pp,1016.0,
BUTSO3tex,100000000.0,100000000.0
GLCRAL,27.3,
PAPA161pp,152.0,
GLUTRR,0.15,
BGLA1,170.0,
ASCBPL,6.04,
UREAtpp,100000000.0,100000000.0
TPI,327.0,9000.0
FUMt2_3pp,22.0,
CYStpp,22.0,
GAMAN6Ptex,100000000.0,100000000.0
ACKr,908.0,3557.5
GPDDA1,3.2,
S2FE2SS2,0.425,
PA181abcpp,95.19583333,
NTPP8,95.0,
NDPK8,571.5,783.0
GDPtex,100000000.0,100000000.0
FEENTERabcpp,95.19583333,
CLPNH141pp,,
2AGPE180tipp,100000000.0,
DM_oxam_c,,
I2FE2ST,22.0,
ARBTNtex,,
PAPA141,152.0,
LDH_D,0.07,525.0
CS1tex,100000000.0,100000000.0
PPCDC,2.9,
HYD1pp,1500.0,
METGLCUR,0.001,
PLIPA1A161pp,2.48,
PLIPA1E141pp,2.48,
OCDCEAtexi,100000000.0,
DHORTS,1.71,181.1
LPLIPAL2G160,1016.0,
PUNP3,44.93,110.6
DMSOR2,79.9,
RFAMPtpp,22.0,
EPMEACPR,5.3,
OMMBLHXy,6.470507937,
AMPN,60.66666667,
EDD,368.4865,
CDAPPA161,90.13177273,
DBTS,0.64,
THRt2rpp,22.0,
G3PStex,100000000.0,100000000.0
4PEPTabcpp,22.0,
PROt2rpp,22.0,22.0
ACSERtpp,22.0,
DINStex,100000000.0,100000000.0
ALAALAabcpp,22.0,
APG3PAT141,166.8,
23CUMPtex,100000000.0,100000000.0
DMATT,0.49,
2AGPE120tipp,100000000.0,
MOAT2,2.866666667,
TARTD,368.4865,
DHGLYH,,
SKMtex,100000000.0,100000000.0
ASPtex,100000000.0,100000000.0
PYK3,110.0,
TKT2,22.9,85.25
