,forward,reverse
PEAMNOpp,12.4,
IPPMIa,368.4865,10.0
HDCAtexi,100000000.0,
MLTG4,845.0,
DDPGALA,0.94,0.94
DASYN141,8.92,
SHCHCS3,8.5,
XYLtex,100000000.0,100000000.0
OP4ENH,60.5,
CLPNS141pp,1.0,0.025375
ATPHs,,
PFK_3,31.0185,
OPMEACPD,368.4865,
ACGAL1Ptex,100000000.0,100000000.0
SUCptspp,3204.0,
NDP7,80.9,
APH181,1.55e-06,
TDPDRR,29.0,
GALCTtex,100000000.0,100000000.0
PItex,100000000.0,100000000.0
MLTP1,47.0,0.001
DASYN120,8.92,
FADRx,36.35,
PGI,923.75,5.0
PLIPA2G160pp,2.48,
CU2tex,100000000.0,100000000.0
PE141abcpp,95.19583333,
HEXt2rpp,22.0,22.0
RNTR3c2,34.15,
APG3PAT180,166.8,
CU1Opp,15.8,
NADPHQR3,22.0,
NADPPPS,,
GLNtex,100000000.0,100000000.0
FEOXAMR2,22.0,
NAtex,100000000.0,100000000.0
ACACT6r,1.4,14.8
CRNBTCT,76.1108,76.1108
ACS,66.6,
PE161abcpp,95.19583333,
GPDDA4,3.3,
MOCOS,1.375,
ATPM,22.0,
CGLYtex,100000000.0,100000000.0
ME1,134.4,
3HAD160,368.4865,
CBMD,,
RNTR1c2,34.15,
OPMEACPR,0.59,
ICHORS_copy2,0.35,1.8
PNTK,1.07,
UAMAS,16.61666667,
HYXNtex,100000000.0,100000000.0
AI2tex,22.0,22.0
CPGNR1,,
PTRCabcpp,95.19583333,
FE3DCITabcpp,95.19583333,
LIPAabctex,95.19583333,
PGSA180,1.0,
CRNCBCT,76.1108,76.1108
MALTTRtexi,100000000.0,
ARBTNR2,,
FE3HOXR3,,
PGP140abcpp,95.19583333,
2DOXG6PP,0.766,
EAR60x,5.3,
LALALGLUtex,100000000.0,100000000.0
PROGLYabcpp,22.0,
CYStex,100000000.0,100000000.0
ASCBtex,100000000.0,100000000.0
PG181abcpp,95.19583333,
FEENTERR3,,
G6PDA,72.93333333,
LPLIPAL2A140,1016.0,
AGPAT160,46.80901367,
THRPtex,100000000.0,100000000.0
ACONTb,71.0,1.1
IPMD,69.0,
ACMAMUT,18.3185,
ENTERES,3.0206,
XYLI1,47.0,7.7
PDH,66.45,
OCTAtex,100000000.0,100000000.0
HYD3pp,1500.0,
LPLIPAL1A140pp,1016.0,
URIH,5.05,
MN2t3pp,22.0,
ARABDI,0.1823,0.0287
DHNPTE,0.089,0.089
CU2abcpp,300.0,
NDPK1,458.5,407.3333333
THRabcpp,22.0,
CTECOAI8,63.0,63.0
CFAS180G,0.067,
COLIPAPabctex,95.19583333,
PFK_2,31.0185,
MCITD,368.4865,
FTHFD,111.8694444,
ENLIPAabctex,95.19583333,
CYSDabcpp,,
TMK,14.80483333,
NH4tpp,30000.0,22.0
G3PGabcpp,95.19583333,
LPLIPAL1G141pp,1016.0,
PSP_L,0.15,
GGGABADr,3.71,26.1
CYTK2,108.5,68.68233333
CUt2pp,22.0,
PLIPA1E120pp,2.48,
ThDPAT,,
AGM4PCPpp,160.0,
LPLIPAL2G141,1016.0,
LPLIPAL2ATG141,1016.0,
PGPP140pp,24.0,
PPTtex,100000000.0,100000000.0
METSOX1abcpp,,
ACtex,100000000.0,100000000.0
UPLA4FNT,24.0530625,
NTPP4,25.8,
MNt2pp,22.0,
RMK,14.80483333,
FE2tpp,22.0,
FBA3,0.003,0.002
GTPDPK,127.0,
GLCATr,32.4876,109.4666667
PG141abcpp,95.19583333,
METSOX2abcpp,,
CAt6pp,22.0,22.0
TDSK,2.4,
PYK6,3204.0,
PAPA180,152.0,
NMNN,,
3OAR141,0.59,
CU2tpp,22.0,
DURADx,0.65,0.64
GLCRD,35.0,
CRNabcpp,0.097333333,
ALAtex,100000000.0,100000000.0
SUCASPtpp,22.0,22.0
GALCTNtex,100000000.0,100000000.0
CYTDt2pp_copy2,22.0,22.0
COBALT2tex,100000000.0,100000000.0
URAtex,100000000.0,100000000.0
MCOATA,9.1,9.1
CBL1abcpp,0.845,
UGMDDS,19.6,
HEX7,14.3,
LPLIPAL2ATE120,1016.0,
COBALT2tpp,22.0,
LYSAM,0.083,0.083
CMtex,100000000.0,100000000.0
FACOAL161t2pp,0.029,
NO3tex,100000000.0,100000000.0
NDPK7,571.5,783.0
CLPNS120pp,1.0,0.025375
GPDDA2,1.1,
UACGALPpp,405.0,
GLUDy,37.3,190.0
23CCMPtex,100000000.0,100000000.0
DSERtex,100000000.0,100000000.0
FE3DHBZStonex,22.0,
MNLtex,100000000.0,100000000.0
HACD5,229.0,0.004
ZN2abcpp,300.0,
3CMPtex,100000000.0,100000000.0
PLIPA2G161pp,2.48,
SEPHCHCS,0.0625,
CYSDtex,100000000.0,100000000.0
ASNNpp,24.0,
2DGULRGy,6.725,
ADD,141.2,
DCAtex,100000000.0,100000000.0
ENTCS,1.0,
CRNDabcpp,0.097333333,
MLDEP1pp,0.5,
MTHTHFSs,,
BTNtex,100000000.0,100000000.0
IDONtex,100000000.0,100000000.0
MANAO,76.08846667,213.4339433
UDPACGALtex,100000000.0,100000000.0
CO2tex,100000000.0,100000000.0
Ktex,100000000.0,100000000.0
ANHMK,7000.0,
NADPHQR4,22.0,
PGAMT,0.52,5.16
ARHGDx,110.6,16.82075
I2FE2SS2,0.5,
CA2t3pp,22.0,
THRA,1.87,
FA160ACPHi,0.004,
I4FE4ST,22.0,
PHETA1,109.555,670.0
LPLIPAL2ATG140,1016.0,
PPS,0.33,
MLTG2,845.0,
THRD_L,5.2,
MDDEP1pp,1.41,
PE120abcpp,95.19583333,
OGMEACPS,0.46,
DAPE,128.0,67.0
2AGPEAT120,0.016,
TALA,13.0,53.0
MICITDr,10.0,368.4865
NADS1,0.2,
3HAD140,368.4865,
3OAR40,99.3,0.59
SHSL1,84.51428571,
MCTP1App,1.41,
ULA4NFT,13.5,
XPPT,131.0,
APG3PAT181,166.8,
NADPHHS,73.56,
ARGabcpp,95.19583333,
PGPP180,24.0,
GHBDHx,213.4339433,76.08846667
FEENTERexs,,
CRNt7pp,22.0,
PLIPA2E140pp,2.48,
AGM3Pt2pp,22.0,
NOVBCNtpp,22.0,
CYTDK2,0.0041,
NTP12,1009.0,
AMPNTAT,32.4876,
O16AP3pp,18.3185,
AGM4PCP,160.0,
GOFUCR,0.75,
GLYCDx,2.71,
PGP181abcpp,95.19583333,
LPLIPAL2ATE161,1016.0,
AIRC3,15.6,15.5
DM_aacald_c,,
EAR160y,5.3,
HSK,18.3,
ASP1DC,0.57,
OCTDPS,2.0,
GUAt2pp,22.0,
BMOCOS,1.375,
FCLK,14.80483333,
URATEtpp,22.0,
GLCURt2rpp,22.0,22.0
APG3PAT161,166.8,
SADT2,17.026,
HOPNTAL,5.6,
HPYRP,90.13177273,
PAPA161,152.0,
GLUtex,100000000.0,100000000.0
FE3HOXUtex,,
O2Stex,100000000.0,100000000.0
GLCP,47.0,
GNK,9.4,
KDOCT2,12.5,
HCYSMT,0.38,
PGPP181,24.0,
LIPAMPL,0.133,
DHNPA2r,0.089,0.089
TKT1,4.24375,73.5
PSSA181,1.0,
GLYK,4900.0,
QUIN2tex,100000000.0,100000000.0
ACMUMptspp,3204.0,
THRS,5.42,
CYANSTpp,230.0,
CTPS2,3.851,
CLtipp,100000000.0,
GLYOX3,1.43,
APG3PAT140,166.8,
RPI,1076.0,8.0
GSNt2pp,22.0,
AACPS3,21.94,
EAR60y,5.3,
ACt4pp,22.0,
NO3R2pp,68.0,
ALATA_D2,6.8625,
2AGPG140tipp,100000000.0,
MMM,48.0,
GSNK,14.80483333,
AP4AH,250.0,
CLPNH160pp,,
O16A4COLIPAabctex,95.19583333,
GLUTRS,2.2,
MOADSUx,0.5,
GLCTR2,4.357545811,
13PPDH2,7.3275,113.1567
CHLt2pp,22.0,
HACD2,229.0,0.004
LPLIPAL2ATE141,1016.0,
MLTG3,845.0,
ILETA,48.0,18.375
NADTRHD,167.9,
BUTSO3abcpp,95.19583333,
LPLIPAL2G180,1016.0,
IGPDH,1000.0,
SUCRtex,100000000.0,100000000.0
THMDtex,100000000.0,100000000.0
LDH_D2,3011.0,
R5PPpp,67.0,
URIt2pp_copy2,22.0,22.0
3OAS181,0.725,
MLDCP2Bpp,106.3,
2AGPA160tipp,100000000.0,
GLYC3Ptex,100000000.0,100000000.0
NAt3_2pp,22.0,
GPDDA2pp,1.1,
MDDEP2pp,1.41,
UDPGALPpp,405.0,
MALt3pp,,
ATHRDHr,5.76,3.78
TYRTA,153.85,670.0
ACNML,6.75,
ASPabcpp,95.19583333,
INOSTO,3.7015,3.7015
NTD9pp,11.0,
LPLIPAL2ATG180,1016.0,
SQtr,22.0,
HEPT2,79.47949376,
PTAr,120.0,415.0
ACALD,15.7,15.7
12DGR160tipp,,
CSNt2pp,22.0,
MDDCP5pp,1.41,
GLUabcpp,95.19583333,
AMPTASECG,38.75333333,
DIMPtex,100000000.0,100000000.0
ACACT3r,1.4,14.8
RHMND,3.2,0.02
UDCPDP,9.0,
FEOXAMexs,,
