Model,FVA_Percent,Analysis_Type,Gamma_fMSA,ATPM,Uptake_Bound,Reaction,Original_Value,Min_Value,Max_Value,FVA_Difference
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_26dap__M_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_acnam_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_amp_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_dha_e_f,0,0,140.708165178342,140.708165178342
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_fuc__L_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_glyald_e_f,0,0,95.5476365512449,95.5476365512449
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_rmn_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_ttdca_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_AMANK,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_glyclt_e_f,0,0,43.8659993302871,43.8659993302871
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_g6p_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_2ddglcn_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_galct__D_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_idon__L_e_f,0,0,60.6206399036892,60.6206399036892
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_indole_e_f,0,0,12.1795174867848,12.1795174867848
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_3hcinnm_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_acmana_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_galur_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_but_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_cbl1_e_f,0,0,654.711898312852,654.711898312852
Homog,0,nonmembrane,0.3,6.89,1000,rx_ACNML,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_CAT,0,0,20,20
Homog,0,nonmembrane,0.3,6.89,1000,rx_SERASr_f,0.000669009337766165,0,654.711898312852,654.711898312852
Homog,0,nonmembrane,0.3,6.89,1000,rx_ACMAMUT,0,0,2.99250985541297,2.99250985541297
Homog,0,nonmembrane,0.3,6.89,1000,rx_DDGALK,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_AB6PGH,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_AMALT1,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_MLTP2_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_PACCOAL,0,0,69.287686837878,69.287686837878
Homog,0,nonmembrane,0.3,6.89,1000,rx_GP4GH,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_AADDGT,0,0,2.99250985541297,2.99250985541297
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_gbbtn_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_tma_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_GMHEPK,0.032604455080012,0,2.99250985541297,2.99250985541297
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_malttr_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_TRE6PS,0,0,62.8380191095686,62.8380191095686
Homog,0,nonmembrane,0.3,6.89,1000,rx_TREH,0,0,43.2580566333987,43.2580566333987
Homog,0,nonmembrane,0.3,6.89,1000,rx_CYTK1_f,0.163795286189437,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_CYTK2_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_GK1_f,0.236095295324199,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_HACD1_f,0.31318937137264,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_HACD2_f,0.31318937137264,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_EX_hdcea_e_f,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_ACACCT,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_BUTCT,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_2DGULRx,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_G1PTT,0.008151113770003,0,3.74063731926621,3.74063731926621
Homog,0,nonmembrane,0.3,6.89,1000,rx_TDPGDH,0.008151113770003,0,3.74063731926621,3.74063731926621
Homog,0,nonmembrane,0.3,6.89,1000,rx_UDPGALM,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_TDPDRE,0.008151113770003,0,0.748127463853243,0.748127463853243
Homog,0,nonmembrane,0.3,6.89,1000,rx_TDPDRR,0.008151113770003,0,0.748127463853243,0.748127463853243
Homog,0,nonmembrane,0.3,6.89,1000,rx_G3PD6,0,0,79.4648381750376,79.4648381750376
Homog,0,nonmembrane,0.3,6.89,1000,rx_ALLTN,0,0,9.39525767244497,9.39525767244497
Homog,0,nonmembrane,0.3,6.89,1000,rx_UAPGR,0.0275773849141667,0,11.6140307692782,11.6140307692782
Homog,0,nonmembrane,0.3,6.89,1000,rx_NDPK7_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_GLYAT_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_ADNUC,0,0,121.828812559368,121.828812559368
Homog,0,nonmembrane,0.3,6.89,1000,rx_GMHEPPA,0.032604455080012,0,2.99250985541297,2.99250985541297
Homog,0,nonmembrane,0.3,6.89,1000,rx_S7PI,0.032604455080012,0,2.99250985541297,2.99250985541297
Homog,0,nonmembrane,0.3,6.89,1000,rx_TRPS3,0.0552347709449572,0,12.1795174867848,12.1795174867848
Homog,0,nonmembrane,0.3,6.89,1000,rx_CRNBTCT_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_CRNCBCT_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_CRNCDH_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_FADRx,2.00907704189802,0,67.5258295533626,67.5258295533626
Homog,0,nonmembrane,0.3,6.89,1000,rx_GTPDPK,0,0,69.287686837878,69.287686837878
Homog,0,nonmembrane,0.3,6.89,1000,rx_NADN,0,0,19.9868327416956,19.9868327416956
Homog,0,nonmembrane,0.3,6.89,1000,rx_NDPK2_f,0.424389923465704,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_NDPK3_f,0.163795286189437,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_NDPK4_f,0.0329564599931565,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_FCLT,0.000446006225177443,0,2.87692135682362,2.87692135682362
Homog,0,nonmembrane,0.3,6.89,1000,rx_PNTK,0.00057600803969118,0,0.000572147237351351,0.000572147237351351
Homog,0,nonmembrane,0.3,6.89,1000,rx_DPCOAK,0.00057600803969118,0,0.000569469220591415,0.000569469220591415
Homog,0,nonmembrane,0.3,6.89,1000,rx_HETZK,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_KDOPS,0.024453341310009,0,2.86346448149348,2.86346448149348
Homog,0,nonmembrane,0.3,6.89,1000,rx_KDOPP,0.024453341310009,0,2.86346448149348,2.86346448149348
Homog,0,nonmembrane,0.3,6.89,1000,rx_AST,0,0,18.7135166627242,18.7135166627242
Homog,0,nonmembrane,0.3,6.89,1000,rx_SGDS,0,0,18.7135166627242,18.7135166627242
Homog,0,nonmembrane,0.3,6.89,1000,rx_CYNTAH,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_GSPMDA,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_GSPMDS,0,0,138.575373675756,138.575373675756
Homog,0,nonmembrane,0.3,6.89,1000,rx_GUAD,0,0,33.5263000828442,33.5263000828442
Homog,0,nonmembrane,0.3,6.89,1000,rx_DGK1_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_DTMPK_f,0.0248053462231535,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_NDPK1_f,0.778882871337192,0,654.711898312852,654.711898312852
Homog,0,nonmembrane,0.3,6.89,1000,rx_TRDR,0.247396453061263,0,57.6054393896443,57.6054393896443
Homog,0,nonmembrane,0.3,6.89,1000,rx_PGMT_f,0,0,654.711898312851,654.711898312851
Homog,0,nonmembrane,0.3,6.89,1000,rx_FRUK,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_RHCCE,0.00134001870344792,0,32.9496647072096,32.9496647072096
Homog,0,nonmembrane,0.3,6.89,1000,rx_KG6PDC,0,0,0,0
Homog,0,nonmembrane,0.3,6.89,1000,rx_X5PL3E,0,0,0,0
