,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_Mw_c,Rxn_Mw_t,Rxn_Mw_p,Rxn_kcat,Rxn_genes_rules
401,G3PD6,Glycerol-3-phosphate dehydrogenase (menaquinone-8),Cytoplasmic,Oxidative Phosphorylation,148423.0,0.0,0.0,33.3,b2243 and b2242 and b2241
402,ALLTN,Allantoinase,Cytoplasmic,Nitrogen Metabolism,49602.0,0.0,0.0,310.85,b0512
403,UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,Cytoplasmic,Cell Envelope Biosynthesis,37851.0,0.0,0.0,9.5,b3972
404,NDPK7_f,Nucleoside-diphosphate kinase (ATP:dCDP),Cytoplasmic,Nucleotide Salvage Pathway,15463.0,0.0,0.0,571.5,b0474 or b2518
405,AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),Cytoplasmic,Threonine and Lysine Metabolism,0.0,0.0,0.0,100000000.0,s0001
406,GLYAT_f,Glycine C-acetyltransferase,Cytoplasmic,Glycine and Serine Metabolism,43117.0,0.0,0.0,27.07633333,b3617
407,ADNUC,Adenosine hydrolase,Cytoplasmic,Alternate Carbon Metabolism,32561.0,0.0,0.0,0.5827,b0030
408,GMHEPPA,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",Cytoplasmic,Lipopolysaccharide Biosynthesis / Recycling,21294.0,0.0,0.0,35.7,b0200
409,S7PI,Sedoheptulose 7-phosphate isomerase,Cytoplasmic,Lipopolysaccharide Biosynthesis / Recycling,20815.0,0.0,0.0,0.44,b0222
410,TRPS3,Tryptophan synthase (indoleglycerol phosphate),Cytoplasmic,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",71707.0,0.0,0.0,1.49325,b1260 and b1261
411,CRNBTCT_f,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,Cytoplasmic,Oxidative Phosphorylation,45127.0,0.0,0.0,76.1108,b0038
412,CRNCBCT_f,Crotonobetainyl-CoA: carnitine CoA transferase,Cytoplasmic,Oxidative Phosphorylation,45127.0,0.0,0.0,76.1108,b0038
413,CRNCDH_f,Carnityl-CoA dehydratse,Cytoplasmic,Oxidative Phosphorylation,28190.0,0.0,0.0,368.4865,b0036
414,FADRx,FAD reductase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,26242.0,0.0,0.0,36.35,b3844
415,GTPDPK,GTP diphosphokinase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,83876.0,0.0,0.0,127.0,b2784
416,NADN,NAD nucleosidase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,0.0,0.0,0.0,100000000.0,
417,NDPK2_f,Nucleoside-diphosphate kinase (ATP:UDP),Cytoplasmic,Nucleotide Salvage Pathway,15463.0,0.0,0.0,571.5,b0474 or b2518
418,NDPK3_f,Nucleoside-diphosphate kinase (ATP:CDP),Cytoplasmic,Nucleotide Salvage Pathway,15463.0,0.0,0.0,571.5,b2518 or b0474
419,NDPK4_f,Nucleoside-diphosphate kinase (ATP:dTDP),Cytoplasmic,Nucleotide Salvage Pathway,15463.0,0.0,0.0,571.5,b0474 or b2518
420,FCLT,Ferrochelatase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,33052.0,0.0,0.0,0.013,b0475 or b2431 or b1019
421,HBZOPT,Hydroxybenzoate octaprenyltransferase,Inner Membrane,Cofactor and Prosthetic Group Biosynthesis,32512.0,32512.0,32512.0,0.002,b4040
422,PNTK,Pantothenate kinase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,36360.0,0.0,0.0,1.07,b3974
423,DPCOAK,Dephospho-CoA kinase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,22622.0,0.0,0.0,0.0387,b0103
424,HETZK,Hydroxyethylthiazole kinase,Cytoplasmic,Cofactor and Prosthetic Group Biosynthesis,27339.0,0.0,0.0,14.80483333,b2104
425,KDOPS,3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,Cytoplasmic,Lipopolysaccharide Biosynthesis / Recycling,30833.0,0.0,0.0,6.1,b1215
426,KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,Cytoplasmic,Lipopolysaccharide Biosynthesis / Recycling,19997.0,0.0,0.0,1.14,b3198
427,AST,Arginine succinyltransferase,Cytoplasmic,Arginine and Proline Metabolism,38456.0,0.0,0.0,0.37325,b1747
428,SGDS,Succinylglutamate desuccinylase,Cytoplasmic,Arginine and Proline Metabolism,35800.0,0.0,0.0,111.8694444,b1744
429,CYNTAH,Cyanate aminohydrolase,Cytoplasmic,Nitrogen Metabolism,17049.0,0.0,0.0,46000.0,b0340
430,GSPMDA,Glutathionylspermidine amidase,Cytoplasmic,Arginine and Proline Metabolism,70532.0,0.0,0.0,2.1,b2988
