Gamma,Iteration,Change_Factor,Uptake_Bound,Growth,ATPM,Random_Seed,phiCm,phiCc,phiR,phiEc,phiEr,phiEm,phiP_m,phiP,phiM,phiCm_m,phiEr_m,phiEm_m,phiPmax,phiMmax
0.3,1,1,5.78620689655172,0.4980011882944,6.86,1,0.0020673133741156,0.240258648443127,0.0841622008217536,0.091304638636168,0.0341262398015028,0.0320809589233328,0.0682745120989511,0.243741351556873,0.0682745120989512,0.0020673133741156,0.0341262398015028,0.0320809589233328,0.484,0.1452
0.3,1,1,6.12068965517241,0.528285097076702,6.86,1,0.00218681837845959,0.226400346503229,0.0892801814059627,0.0963166613402255,0.0359332095128876,0.0338827828592358,0.072002810750583,0.257599653496771,0.072002810750583,0.00218681837845959,0.0359332095128876,0.0338827828592358,0.484,0.1452
0.3,1,1,6.4551724137931,0.558569005859005,6.86,1,0.00230632338280357,0.212542037587211,0.0943981619901718,0.101328690819208,0.0377401762433044,0.0356846099773006,0.0757311096034086,0.271457962412789,0.0757311096034086,0.00230632338280357,0.0377401762433044,0.0356846099773006,0.484,0.1452
0.3,1,1,6.78965517241379,0.588852914641307,6.86,1,0.00242582838714756,0.198683721053564,0.0995161425743808,0.106340728309084,0.0395471394489268,0.0374864402268965,0.0794594080629708,0.285316278946436,0.0794594080629708,0.00242582838714756,0.0395471394489268,0.0374864402268965,0.484,0.1452
0.3,1,1,7.12413793103448,0.619136823423609,6.86,1,0.00254533339149155,0.184825411745779,0.10463412315859,0.111352758200058,0.0413541059980687,0.0392882675060124,0.0831877068955727,0.299174588254221,0.0831877068955727,0.00254533339149155,0.0413541059980687,0.0392882675060124,0.484,0.1452
0.3,1,1,7.45862068965517,0.649420732205916,6.86,1,0.00266483839583554,0.170967101741914,0.1097521037428,0.116364788091031,0.0431610725472104,0.0410900954812089,0.0869160064242549,0.313032898258086,0.0869160064242549,0.00266483839583554,0.0431610725472104,0.0410900954812089,0.484,0.1452
0.3,1,1,7.79310344827586,0.679704640988219,6.86,1,0.00278434340017953,0.157108792401675,0.114870084327009,0.121376817982002,0.0449680390963514,0.0428919227927835,0.0906443052893144,0.326891207598325,0.0906443052893144,0.00278434340017953,0.0449680390963514,0.0428919227927835,0.484,0.1452
0.3,1,1,8.12758620689655,0.709988549770521,6.86,1,0.00290384840452352,0.143250483061427,0.119988064911218,0.126388847872977,0.0467750056454941,0.04469375010436,0.0943726041543776,0.340749516938573,0.0943726041543776,0.00290384840452352,0.0467750056454941,0.04469375010436,0.484,0.1452
0.3,1,1,8.46206896551724,0.740272458552821,6.86,1,0.00302335340886751,0.129301918722881,0.125106045495427,0.131453570536776,0.0486030424800146,0.0465120693560347,0.0981384652449168,0.354698081277119,0.0981384652449168,0.00302335340886751,0.0486030424800146,0.0465120693560347,0.484,0.1452
0.3,1,1,8.79655172413793,0.770556367335123,6.86,1,0.00314285841321149,0.11544287920458,0.130224026079636,0.136464444477209,0.0504110475319177,0.0483147442934462,0.101868650238575,0.36855712079542,0.101868650238575,0.00314285841321149,0.0504110475319177,0.0483147442934462,0.484,0.1452
0.3,1,1,9.13103448275862,0.790859327015615,6.86,1,0.00326236341755548,0.106517656232147,0.133655226265639,0.139840419515803,0.0512762787544804,0.0494480558143751,0.103986697986411,0.377482343767853,0.103986697986411,0.00326236341755548,0.0512762787544804,0.0494480558143751,0.484,0.1452
0.3,1,1,9.46551724137931,0.802855535610181,6.86,1,0.00338186842189947,0.100741561824178,0.135682585518121,0.142812235563207,0.0513529561935856,0.0500287924790093,0.104763617094494,0.383258438175822,0.104763617094494,0.00338186842189947,0.0513529561935856,0.0500287924790093,0.484,0.1452
0.3,1,1,9.8,0.814851744204744,6.86,1,0.00350137342624346,0.0948786693916474,0.137709944770602,0.145870852892366,0.051429598522664,0.0506095609964776,0.105540532945385,0.389121330608353,0.105540532945385,0.00350137342624346,0.051429598522664,0.0506095609964776,0.484,0.1452
0.3,1,1,10,0.82202473491077,6.86,1,0.00357283002677904,0.0913730175333953,0.13892218019992,0.147699720978753,0.0514754363914828,0.0509568148696691,0.106005081287931,0.392626982466605,0.106005081287931,0.00357283002677904,0.0514754363914828,0.0509568148696691,0.484,0.1452
0.3,1,1,10.0052509976896,0.822213061698894,6.86,1,0.00357470611900062,0.0912809766843232,0.138954007427113,0.147747737889259,0.0514766398642225,0.0509659320160813,0.106017277999304,0.392719023315677,0.106017277999304,0.00357470611900062,0.0514766398642225,0.0509659320160813,0.484,0.1452
0.3,1,1,10.0210039907582,0.822778042063263,6.86,1,0.00358033439566537,0.0910048541372081,0.139049489108691,0.147891788620696,0.0514802502823669,0.0509932834553718,0.106053868133404,0.392995145862792,0.106053868133404,0.00358033439566537,0.0514802502823669,0.0509932834553718,0.484,0.1452
0.3,1,1,10.047258979206,0.823719676003877,6.86,1,0.00358971485677327,0.0905446498919873,0.139208625244655,0.148131873173115,0.051486267645962,0.0510388691875077,0.106114851690243,0.393455350108013,0.106114851690243,0.00358971485677327,0.051486267645962,0.0510388691875077,0.484,0.1452
0.3,1,1,10.084015963033,0.825037963520739,6.86,1,0.00360284750232434,0.089900311243501,0.139431415835005,0.148468035320097,0.0514947508504024,0.0511026392486703,0.106200237601397,0.394099688756499,0.106200237601397,0.00360284750232434,0.0514947508504024,0.0511026392486703,0.484,0.1452
0.3,1,1,10.131274942239,0.826732904613846,6.86,1,0.00361973233231857,0.0890719434938274,0.13971786087974,0.148900187604377,0.051505582225867,0.0511846934638699,0.106310008022056,0.394928056506173,0.106310008022056,0.00361973233231857,0.051505582225867,0.0511846934638699,0.484,0.1452
0.3,1,1,10.1890359168242,0.828804499283196,6.86,1,0.00364036934675596,0.0880594940220204,0.14006796037886,0.149428373729596,0.0515188205736455,0.0512849819491224,0.106444171869524,0.39594050597798,0.106444171869524,0.00364036934675596,0.0515188205736455,0.0512849819491224,0.484,0.1452
0.3,1,1,10.2572988867885,0.831252747528797,6.86,1,0.00366475854563652,0.086863015930383,0.140481714332367,0.150052549592331,0.0515344065546049,0.0514035550446782,0.10660272014492,0.397136984069617,0.10660272014492,0.00366475854563652,0.0515344065546049,0.0514035550446782,0.484,0.1452
