export_fraction,gamma,glc_uptake,mu,phiEc,phiEm,phiEr,phiCm,phiR,phiCc,unassigned
0.05,1.0,31.006944444444443,0.9999658369995771,0.2127487000758199,0.029100320465776798,0.048754702683605114,0.024402049814378213,0.16899422645292853,0.0,0.4840000000000038
0.05,1.0,32.96006944444444,0.9999658369995741,0.21274870007581892,0.029100320465776763,0.04875470268360508,0.0244020498143782,0.16899422645292803,0.0,0.4840000000000019
0.05,1.0,35.0,0.9999658369995758,0.21274870007581284,0.029100320465760176,0.04875470268360431,0.024402049814378123,0.1689942264529283,0.0,0.48399999999997906
0.05,0.35,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.35,0.8857142857142859,0.05401264101499034,0.08689437636051865,0.0006078324912931518,0.01520928019057995,0.0007407948372227085,0.009128136331533369,0.0,0.11258042069424842
0.05,0.35,1.5714285714285716,0.11638596110601018,0.15537532587880007,0.0013097520758331793,0.02238449032801814,0.0013143134208789989,0.019669227426915722,0.0,0.20005310982713584
0.05,0.35,2.2571428571428576,0.17848094739296133,0.21040317180201196,0.0020085394245417353,0.029666774500082288,0.0018878320045352893,0.030163280109410467,0.0,0.2741295987527344
0.05,0.35,2.9428571428571435,0.24056502595951004,0.2646881216723955,0.002707204022969199,0.03695325483378806,0.00246135058819158,0.0406554893871572,0.0,0.3474654216303735
0.05,0.35,3.6285714285714294,0.3026491045260768,0.3189742916817381,0.0034058686213422912,0.04423973516748968,0.00303486917184787,0.05114769866490698,0.0,0.4208024646487076
0.05,0.35,4.314285714285715,0.3646148279272221,0.36309675715158546,0.004103201307263016,0.05157174631668221,0.0036083877555041603,0.06161990591970054,0.0,0.48400000000022225
0.05,0.35,5.000000000000001,0.425845785469122,0.34387146957775416,0.004792265288722912,0.05918641930538525,0.004181906339160451,0.07196793774428162,0.0,0.48400000000025256
0.05,0.35,5.685714285714287,0.48537576155833906,0.3247887345404195,0.005462187236492462,0.06696514759471278,0.004755424922816742,0.0820285037033593,0.0,0.48399999999997945
0.05,0.35,6.371428571428573,0.5441555479730869,0.30575522462425764,0.006123666907598007,0.07482987506630241,0.005328943506473032,0.09196228760745169,0.0,0.4839999999997992
0.05,0.35,7.057142857142859,0.6029100026330142,0.2867221282207395,0.006784861507221718,0.08269875516651465,0.005902462090129322,0.10189179044497941,0.0,0.4839999999999838
0.05,0.35,7.742857142857145,0.6597548209822489,0.2676081506789279,0.00742456597093656,0.09099273511493144,0.0064759806737856125,0.11149856474600008,0.0,0.48399999999995263
0.05,0.35,8.428571428571429,0.715609859312603,0.24843791606428794,0.008053131922566275,0.09952138350017298,0.007049499257441902,0.12093806622382992,0.0,0.48400000000001725
0.05,0.35,9.114285714285716,0.7448381448834748,0.2407003184269317,0.008916276488607232,0.10088273778207674,0.007623017841098193,0.12587764648530725,0.0,0.4839999999999675
0.05,0.35,9.8,0.7711482288599828,0.2342277053085721,0.009805668381901006,0.10144603632637698,0.008196536424754482,0.1303240506773371,0.0,0.4839999999999529
0.05,0.35,10.0,0.7788220033531287,0.232339859815814,0.01006507435079615,0.10161033173513104,0.008363812678320901,0.13162091856667876,0.0,0.48400000000006294
0.05,0.35,10.043402777777779,0.7804873189983412,0.23193017112372763,0.010121369048875594,0.1016459861207115,0.008400113948626112,0.13190235691071966,0.0,0.4839999999999743
0.05,0.35,10.17361111111111,0.7854832659339842,0.23070110504764196,0.010290253143201367,0.10175294927745258,0.00850901775954175,0.13274667194284334,0.0,0.4839999999999678
0.05,0.35,10.390625,0.7938098441600536,0.22865266158741768,0.010571726633706363,0.1019312212053545,0.008690524111067811,0.13415386366304907,0.0,0.4839999999998375
0.05,0.35,10.694444444444445,0.803174319467273,0.22625655777434117,0.010955569341621648,0.10210677710326788,0.008944633003204297,0.13573645998996914,0.0,0.4840000000000226
0.05,0.35,11.085069444444445,0.8114551511610634,0.22414054711286777,0.011443994112342103,0.10200819092577107,0.009271344435951206,0.13713592054621973,0.0,0.48400000000001786
0.05,0.35,11.5625,0.8215761676757074,0.22155431185994054,0.012040957721017402,0.10188769670883088,0.00967065840930854,0.13884637233719457,0.0,0.4840000000000158
0.05,0.35,12.12673611111111,0.8326013577152842,0.2200749021047649,0.012821126418266675,0.10025176420908545,0.0101425749232763,0.14070962945388304,0.0,0.4839999999999857
0.05,0.35,12.777777777777779,0.8446496738300404,0.21949695340943692,0.013779248426591159,0.09729090663709646,0.010687093977854485,0.14274579487727684,0.0,0.48399999999999466
0.05,0.35,13.515625,0.858304432093442,0.2188419448880568,0.014865120036025768,0.09393526805550706,0.011304215573043092,0.1450534490237917,0.0,0.4839999999999962
0.05,0.35,14.340277777777777,0.8718435068314689,0.2138047804747073,0.01584690973198625,0.0950128150393261,0.011993939708842124,0.14734155265451826,0.0,0.4840000000000079
0.05,0.35,15.25173611111111,0.885951323799014,0.20808507487379374,0.016910975500050024,0.09638915689219169,0.012889016650885437,0.14972577372203338,0.0,0.48400000000000193
0.05,0.35,16.25,0.8995456856349565,0.2021312242158797,0.018060798607737866,0.09757439503626898,0.014210358909621804,0.15202322087230766,0.0,0.4839999999999948
0.05,0.35,17.335069444444443,0.9112645324835106,0.19990371186947023,0.019126588158845655,0.09569493462733947,0.015271057030263508,0.1540037059897133,0.0,0.48399999999999105
0.05,0.35,18.506944444444443,0.9230760943924717,0.20050047514865255,0.020127822336525308,0.09127519950451701,0.016096640770763736,0.15599985995232774,0.0,0.48399999999999416
0.05,0.35,19.765625,0.9357625868132142,0.20114144311518303,0.02120322200884776,0.08652807659481969,0.016983378862412152,0.15814387717143322,0.0,0.4840000000000009
0.05,0.35,21.11111111111111,0.9493240097457322,0.20182661576906752,0.022352787175813578,0.08145356589824998,0.017931271305208808,0.16043575764702875,0.0,0.4840000000000182
