export_fraction,gamma,glc_uptake,mu,phiEc,phiEm,phiEr,phiT,phiCm,phiR,phiCc,unassigned
0.05,0.3,19.765625,0.9357625868132136,0.2011414431151806,0.0212032220088477,0.0865280765948188,0.007907193858571656,0.0169833788624121,0.15023668331286144,2.247307728797665e-09,0.4839999999999975
0.05,0.3,21.11111111111111,0.9493240097457224,0.2018266157690589,0.0223527871758133,0.0814535658982457,0.008021787882351354,0.0179312713052087,0.15241396976467575,2.2046462988534188e-09,0.4840000000000033
0.05,0.3,22.54340277777778,0.9637603631900108,0.202555993110274,0.0235765178374216,0.0760516674147931,0.008143775068955592,0.0189403180991533,0.15473172631015622,2.1592462262631784e-09,0.4839999999999962
0.05,0.3,24.0625,0.9786368432688776,0.2031406366725133,0.0248845547238934,0.0704597557071805,0.008269481325622016,0.0201254242572096,0.15712014518681827,2.126762932430637e-09,0.4839999999999965
0.05,0.3,25.66840277777778,0.987354296499202,0.2046081223510988,0.0262130539804655,0.0648473745306076,0.008343143805418257,0.0214685712585025,0.15851973230294683,1.7709604893667574e-09,0.484000000000001
0.05,0.3,27.361111111111107,0.9937802319574306,0.2083244373826628,0.0275967653316608,0.0572456161294948,0.00839744296004029,0.0228843208004057,0.1595514162407655,1.1549701195434636e-09,0.483999999999996
0.05,0.3,29.140625,0.9999554279967892,0.2125901422945519,0.0290583946140798,0.0489863223593531,0.00844962336657287,0.0243726728829195,0.16054284396488444,5.176383766070103e-10,0.4839999999999964
0.05,0.3,31.006944444444443,0.9999658369995726,0.2127487000758224,0.0291003204657768,0.0487547026836053,0.00844971132264639,0.0244020498143782,0.1605445151302813,5.074896058943068e-10,0.4840000000000057
0.05,0.3,32.96006944444444,0.999965836999574,0.2127487000758215,0.0291003204657767,0.0487547026836048,0.008449711322646401,0.0244020498143782,0.1605445151302816,5.074908271396339e-10,0.4840000000000044
0.05,0.3,35.0,0.999965836999577,0.2127487000758179,0.0291003204657552,0.0487547026836054,0.008449711322646427,0.0244020498143781,0.16054451513028206,5.075149189792683e-10,0.4839999999999806
0.05,0.25,0.2,,0.0,0.0,0.0,,0.0,,0.484,0.0
0.05,0.25,0.8857142857142859,0.0540126410149903,0.0868943763605186,0.0006078324912931,0.0152092801905799,0.0004564068165766681,0.0007407948372227,0.00867172951495663,0.37141957978885237,0.1125804206942484
0.05,0.25,1.5714285714285716,0.1163859611060101,0.1553753258788,0.0013097520758331,0.0223844903280181,0.0009834613713457854,0.0013143134208789,0.018685766055569916,0.2839468908695542,0.2000531098271358
0.05,0.25,2.2571428571428576,0.1784809473929613,0.2104031718020119,0.0020085394245417,0.0296667745000822,0.0015081640054705233,0.0018878320045352,0.02865511610393988,0.20987040215941855,0.2741295987527344
0.05,0.25,2.9428571428571435,0.24056502595951,0.2646881216723955,0.0027072040229691,0.036953254833788,0.0020327744693578596,0.0024613505881915,0.03862271491779934,0.1365345794954987,0.3474654216303735
0.05,0.25,3.6285714285714294,0.3026491045260768,0.3189742916817381,0.0034058686213422,0.0442397351674896,0.0025573849332453493,0.0030348691718478,0.04859031373166155,0.06319753669267542,0.4208024646487076
0.05,0.25,4.314285714285715,0.3646148279272221,0.3630967571515854,0.004103201307263,0.0515717463166822,0.0030809952959850273,0.0036083877555041,0.058538910623715475,1.5492647720272146e-09,0.4840000000002222
0.05,0.25,5.000000000000001,0.425845785469122,0.3438714695777541,0.0047922652887229,0.0591864193053852,0.003598396887214081,0.0041819063391604,0.06836954085706752,1.7446957767397464e-09,0.4840000000002525
0.05,0.25,5.685714285714287,0.485375761558339,0.3247887345404195,0.0054621872364924,0.0669651475947127,0.004101425185167965,0.0047554249228167,0.07792707851819133,2.002199406270222e-09,0.4839999999999794
0.05,0.25,6.371428571428573,0.5441555479730884,0.3057552246243955,0.0061236669075981,0.0748298750663011,0.0045981143803725975,0.005328943506473,0.0873641732270793,2.287780409560014e-09,0.4839999999999362
0.05,0.25,7.057142857142859,0.6029100026330139,0.286722128220771,0.0067848615072217,0.0826987551665143,0.005094589522248968,0.0059024620901293,0.09679720092273034,2.5703844608315762e-09,0.4840000000000152
0.05,0.25,7.742857142857145,0.659754820982248,0.2676081506789567,0.0074245659709365,0.0909927351149307,0.005574928237299996,0.0064759806737856,0.1059236365086999,2.8153905873296026e-09,0.4839999999999808
0.05,0.25,8.428571428571429,0.7156098593126006,0.2484379160641971,0.0080531319225661,0.0995213835001753,0.0060469033111914755,0.0070494992574419,0.11489116291263801,3.0317900967524736e-09,0.4839999999999282
0.05,0.25,9.114285714285716,0.7378487308853632,0.2445383857830673,0.0076214654116192,0.0995206925383466,0.00623482177598132,0.0076230178410981,0.11846161374364497,2.906242468903031e-09,0.4840000000000358
0.05,0.25,9.8,0.7560476391868651,0.2416165512679381,0.0085509889080473,0.0978638696516735,0.006388602551129011,0.0081965364247544,0.1213834484714512,2.7250064982276e-09,0.48399999999994
0.05,0.25,10.0,0.7613556541081387,0.2407643495344749,0.0088220999278391,0.0973806296430602,0.006433455277213772,0.0083638126783209,0.12223565026706164,2.672029431050049e-09,0.4840000000000289
0.05,0.25,10.04340277777778,0.7625075670684813,0.2405794099220851,0.0088809347845646,0.0972757598495245,0.006443188941728669,0.0084001139486261,0.12242058989284464,2.6606263303641242e-09,0.4839999999999546
0.05,0.25,10.17361111111111,0.7659633059495227,0.2400245910851551,0.0090574393547415,0.0969611504689169,0.006472389935273468,0.0085090177595417,0.12297540877019583,2.626175499287342e-09,0.4839999999999728
0.05,0.25,10.390625,0.7709715590857663,0.239220516030543,0.0092359373436917,0.0965588264862272,0.006514709674274726,0.0086905241110678,0.12377948381121978,2.5429757743999915e-09,0.4840000000000239
0.05,0.25,10.694444444444445,0.7779005932533813,0.2381080595720046,0.0094837545221953,0.0959983502145038,0.006573260012991073,0.0089446330032042,0.12489194024683031,2.4282706956313405e-09,0.4840000000002227
0.05,0.25,11.085069444444445,0.7864109833752013,0.2367417164654153,0.0099574470084192,0.0951260335371802,0.006645172809520452,0.0092713444359512,0.12625828338088854,2.362625095564397e-09,0.4839999999997852
0.05,0.25,11.5625,0.7968125713018749,0.2350717415569679,0.0105364044915585,0.0940598687093635,0.006733066227500844,0.0096706584093085,0.12792825832251598,2.2827847945272595e-09,0.483999999998857
