Gamma,Iteration,Change_Factor,Acetate_threshold,ATPM,Z_Level,Y_Level,Random_Seed
0.161111111111111,1,1,0.226699759544779,6.89,0.333793103448276,0.0,1
0.1,1,1,0.226699759544781,6.89,0.333793103448276,0.0,1
0.65,1,1,0.226699759544781,6.89,0.333793103448276,0.0,1
1.0,1,1,0.226699759544782,6.89,0.333793103448276,0.0,1
0.25,1,1,0.198762573725821,6.89,0.35048275862069,0.0,1
0.2,1,1,0.198762215951809,6.89,0.35048275862069,0.0,1
0.15,1,1,0.19876257372582,6.89,0.35048275862069,0.0,1
0.3,1,1,0.198762215951807,6.89,0.35048275862069,0.0,1
0.294444444444444,1,1,0.19876257372582,6.89,0.35048275862069,0.0,1
0.277777777777778,1,1,0.198762573725821,6.89,0.35048275862069,0.0,1
0.211111111111111,1,1,0.198762573725818,6.89,0.35048275862069,0.0,1
0.161111111111111,1,1,0.19876257372582,6.89,0.35048275862069,0.0,1
0.1,1,1,0.198762573725821,6.89,0.35048275862069,0.0,1
0.65,1,1,0.198762573725821,6.89,0.35048275862069,0.0,1
1.0,1,1,0.19876257372582,6.89,0.35048275862069,0.0,1
0.25,1,1,0.170825387906863,6.89,0.367172413793103,0.0,1
0.2,1,1,0.17082538790686,6.89,0.367172413793103,0.0,1
0.15,1,1,0.17082538790686,6.89,0.367172413793103,0.0,1
0.3,1,1,0.170825387906859,6.89,0.367172413793103,0.0,1
0.294444444444444,1,1,0.170825387906862,6.89,0.367172413793103,0.0,1
0.277777777777778,1,1,0.17082538790686,6.89,0.367172413793103,0.0,1
0.211111111111111,1,1,0.170825387906862,6.89,0.367172413793103,0.0,1
0.161111111111111,1,1,0.170825105359245,6.89,0.367172413793103,0.0,1
0.1,1,1,0.17082538790686,6.89,0.367172413793103,0.0,1
0.65,1,1,0.17082538790686,6.89,0.367172413793103,0.0,1
1.0,1,1,0.17082538790686,6.89,0.367172413793103,0.0,1
0.25,1,1,0.142888202087899,6.89,0.383862068965517,0.0,1
0.2,1,1,0.142887940672291,6.89,0.383862068965517,0.0,1
0.15,1,1,0.142887965748788,6.89,0.383862068965517,0.0,1
0.3,1,1,0.1428882020879,6.89,0.383862068965517,0.0,1
0.294444444444444,1,1,0.142888202087901,6.89,0.383862068965517,0.0,1
0.277777777777778,1,1,0.142888202087901,6.89,0.383862068965517,0.0,1
0.211111111111111,1,1,0.142888202087903,6.89,0.383862068965517,0.0,1
0.161111111111111,1,1,0.1428882020879,6.89,0.383862068965517,0.0,1
0.1,1,1,0.142887965748788,6.89,0.383862068965517,0.0,1
0.65,1,1,0.142888202087901,6.89,0.383862068965517,0.0,1
1.0,1,1,0.142887944888144,6.89,0.383862068965517,0.0,1
0.25,1,1,0.11495101626894,6.89,0.400551724137931,0.0,1
0.2,1,1,0.114951016268942,6.89,0.400551724137931,0.0,1
0.15,1,1,0.11495101626894,6.89,0.400551724137931,0.0,1
0.3,1,1,0.114950826138328,6.89,0.400551724137931,0.0,1
0.294444444444444,1,1,0.114951016268941,6.89,0.400551724137931,0.0,1
0.277777777777778,1,1,0.114951016268941,6.89,0.400551724137931,0.0,1
0.211111111111111,1,1,0.114951016268939,6.89,0.400551724137931,0.0,1
0.161111111111111,1,1,0.114951016268941,6.89,0.400551724137931,0.0,1
0.1,1,1,0.114951016268941,6.89,0.400551724137931,0.0,1
0.65,1,1,0.114951016268942,6.89,0.400551724137931,0.0,1
1.0,1,1,0.114951016268941,6.89,0.400551724137931,0.0,1
0.25,1,1,0.0869850618086064,6.89,0.417241379310345,0.0,1
0.2,1,1,0.0869849182211035,6.89,0.417241379310345,0.0,1
0.15,1,1,0.0869850618086071,6.89,0.417241379310345,0.0,1
0.3,1,1,0.0869850618086074,6.89,0.417241379310345,0.0,1
0.294444444444444,1,1,0.0869850618086068,6.89,0.417241379310345,0.0,1
0.277777777777778,1,1,0.0869850618086071,6.89,0.417241379310345,0.0,1
0.211111111111111,1,1,0.0869850618086068,6.89,0.417241379310345,0.0,1
0.161111111111111,1,1,0.0869850618086069,6.89,0.417241379310345,0.0,1
0.1,1,1,0.0869850618086067,6.89,0.417241379310345,0.0,1
0.65,1,1,0.0869850618086068,6.89,0.417241379310345,0.0,1
1.0,1,1,0.0869850618086075,6.89,0.417241379310345,0.0,1
