Gamma,Z_Level,Y_Level,rx_EX_ac_e_f,rx_ATPS4rpp_f,rx_BIOMASS_Ec_iML1515_WT_75p37M
0.25,0.1,0.0,0.0,39.298239477582,0.438113200366549
0.25,0.1,0.0,0.0,40.448681804838,0.452186362106761
0.25,0.1,0.0,0.0,41.6286345306042,0.466272035809052
0.25,0.1,0.0,0.0,42.8491809978412,0.480357756354106
0.25,0.1,0.0,0.0,44.0296097188328,0.494162725870003
0.25,0.1,0.0,0.0,45.3379804886401,0.507622571204876
0.25,0.1,0.0,0.0,46.6171791630238,0.521039007153603
0.25,0.1,0.0,0.0,47.855134759951,0.534413725458065
0.25,0.1,0.0,0.0,49.1777864701439,0.547856176117905
0.25,0.1,0.0,0.0,50.4181609002275,0.5611894540197
0.25,0.1,0.0,0.0,51.7527641042895,0.574548750088786
0.25,0.1,0.0,0.0,52.9995340884141,0.587807981724743
0.25,0.1,0.0,0.0,54.2909506977459,0.601112584907372
0.25,0.1,0.0,0.0,55.7922061735089,0.611003815797093
0.25,0.1,0.0,0.137073878276794,57.5966310564664,0.61524880473743
0.25,0.1,0.0,0.664590797386865,57.0519156040903,0.617998458207821
0.25,0.1,0.0,1.17981186307995,56.580170037149,0.621636677175109
0.25,0.1,0.0,1.71030010603979,56.0256262390935,0.624320637688113
0.25,0.1,0.0,2.23315472660355,55.5124816663375,0.627481728137748
0.25,0.1,0.0,2.74825838653028,55.0413709484683,0.631127249610957
0.25,0.1,0.0,3.27882401472735,54.4862893649863,0.63380390762518
0.25,0.1,0.0,3.8016751934638,53.9731503538527,0.636964997368895
0.25,0.1,0.0,4.32457334322991,53.4599029385533,0.640126087112616
0.25,0.1,0.0,4.84711619457512,53.0091227199057,0.643224135032285
0.25,0.1,0.0,5.36146652743757,52.6529862106812,0.646768645263636
0.25,0.1,0.0,5.89193606322557,52.2145205904135,0.649308695792321
0.25,0.1,0.0,6.41429571236334,51.81734583507,0.652351834055788
0.25,0.1,0.0,6.93672409799114,51.4200048003277,0.655393823589145
0.25,0.1,0.0,7.45911065054364,51.0227491562166,0.658436387487547
0.25,0.1,0.0,8.09598067320356,50.5383784577943,0.662145450276071
0.25,0.1,0.0,8.10535462743466,50.5312499687956,0.662200046701945
0.25,0.1,0.0,8.13079821748881,50.5119012129434,0.662348237000764
0.25,0.1,0.0,8.1804903421448,50.4737898548567,0.662633749968299
0.25,0.1,0.0,8.08633290933991,50.5817074373636,0.662652526415397
0.25,0.1,0.0,8.26203357671587,50.4121023669704,0.663112586963065
0.25,0.1,0.0,8.3838949817135,50.3194320099934,0.663822340499484
0.25,0.1,0.0,8.55391976996018,50.1901969101873,0.664812875654732
0.25,0.1,0.0,8.78024126961818,50.0180927318731,0.666130989365218
0.25,0.1,0.0,9.07080261297481,49.7971894823683,0.66782406729046
0.25,0.1,0.0,9.43373607015077,49.5211324782966,0.669937140197938
0.25,0.1,0.0,9.87696218957014,49.1841406510346,0.672519364055196
0.25,0.1,0.0,10.4001415096799,48.8229902619629,0.676140502617499
0.25,0.1,0.0,10.9610556836077,48.6846306462539,0.679600525008964
0.25,0.1,0.0,11.5413386584186,48.9009180341335,0.682804975846723
0.25,0.1,0.0,12.2039314510055,49.1835705168395,0.687138522789069
0.25,0.1,0.0,12.9610282236725,49.506527363583,0.692090166759637
0.25,0.1,0.0,13.8142848669796,49.8690473051502,0.698065207789283
0.25,0.1,0.0,14.7869156734915,50.1145706213723,0.703344182370136
0.25,0.1,0.0,15.8738035619309,50.3891012812784,0.709243580391982
0.25,0.1,0.0,17.0652766945041,50.4675301532794,0.714946909719731
0.25,0.1,0.0,18.0585980296244,49.0103415166885,0.71963859688343
0.25,0.1,0.0,19.14789571349,47.4725399210109,0.725530438447572
0.25,0.1,0.0,20.3408440779895,45.7885587245619,0.731984270069461
0.25,0.1,0.0,21.6422066457202,43.9512149973019,0.739021624562175
0.25,0.1,0.0,23.0566404403845,41.9544925157876,0.746673544323473
0.25,0.1,0.0,24.5889001851187,39.7911933630257,0.75495991094677
0.25,0.1,0.0,26.251042545878,37.4848290944089,0.763911222788702
0.25,0.1,0.0,28.0583888746841,34.9646008703575,0.772992089495548
0.25,0.1,0.0,30.0348840051791,33.1779963116716,0.778751732400417
0.25,0.1,0.0,32.1773018167399,30.3448291211738,0.78291832726781
0.25,0.1,0.0,34.4697826822259,27.3133378066785,0.787361872125074
0.25,0.1,0.0,36.9150406904885,24.0798207744648,0.792101558711738
0.25,0.1,0.0,39.5240387492114,20.5877878746563,0.796700422010457
0.25,0.1,0.0,42.3034489143494,16.8162819008661,0.801038989195802
0.25,0.1,0.0,43.5707590832335,15.0852940049797,0.803028975814544
0.25,0.1,0.0,43.5707593393665,15.0852988988244,0.803029033416338
0.25,0.1,0.0,43.5707596391015,15.0853046257614,0.803029100823832
0.25,0.1,0.0,43.5707596391016,15.0853046257632,0.803029100823855
0.25,0.1,0.0,43.5707660555902,15.0854272234567,0.803030543829724
0.25,0.15,0.0,0.0,0.0,0.0
0.25,0.15,0.0,0.0,0.0,0.0
