Gamma,Z_Level,Y_Level,rx_EX_ac_e_f,rx_EX_co2_e_f,rx_EDD,rx_MALS,rx_AKGDH,rx_ATPS4rpp_f,rx_BIOMASS_Ec_iML1515_WT_75p37M,rx_EX_glc__D_e_b
0.2,0.01,0.0,0.0,15.9263298064676,0.0,1.5845136772698,0.617383902098668,47.1559501112408,0.541565216695925,6.34745762711864
0.2,0.01,0.0,0.0,16.3363106177661,0.0,1.62573542096014,0.459897818564691,48.3366001529274,0.5556542478444,6.51186440677966
0.2,0.01,0.0,0.0,16.7336169200797,0.0,1.66708421740169,0.379580651436282,49.4776052922376,0.569743278992874,6.67627118644068
0.2,0.01,0.0,0.0,17.1434753839656,0.0,1.70829544570008,0.222790793359437,50.6576684636493,0.58382764263627,6.84067796610169
0.2,0.01,0.0,0.0,17.5535377572506,0.0,1.7494897918595,0.064701887909035,51.8381197542449,0.597906236634013,7.00508474576271
0.2,0.01,0.0,0.0,17.9730940918778,0.0,1.81253718265448,0.0,53.0433473205427,0.61175368892894,7.16949152542373
0.2,0.01,0.0,0.305428618870551,18.0805674959641,0.0,1.90726050197318,0.0,53.4512986306908,0.618302892446116,7.33389830508475
0.2,0.01,0.0,0.754027166460379,17.9834009208711,0.0,1.93918324825469,0.0,53.2892493846225,0.622857210356063,7.49830508474576
0.2,0.01,0.0,1.20310648156699,17.8862156328993,0.0,1.97206917695972,0.0,53.1271809758936,0.627386854479571,7.66271186440678
0.2,0.01,0.0,1.65224559349992,17.7890067837556,0.0,2.00503441795925,0.0,52.9651225609464,0.631915807927638,7.8271186440678
0.2,0.01,0.0,2.10133929384311,17.6918205108821,0.0,2.03794835611108,0.0,52.803053826569,0.636444761375709,7.99152542372881
0.2,0.01,0.0,2.55045569998124,17.5946229498732,0.0,2.07088794568734,0.0,52.6409902519071,0.640973714823778,8.15593220338983
0.2,0.01,0.0,2.99957210611968,17.4974253888648,0.0,2.10382753526353,0.0,52.4789266772448,0.645502668271844,8.32033898305085
