Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
NDPK3_b,Nucleoside-diphosphate kinase (ATP:CDP),ctp_c + adp_c  -> atp_c + cdp_c ,"2.7.4.3, 2.7.4.6",19524.12,458.7
NDPK4_b,Nucleoside-diphosphate kinase (ATP:dTDP),adp_c + dttp_c  -> atp_c + dtdp_c ,2.7.4.3,19524.12,783
NDPK1_b,Nucleoside-diphosphate kinase (ATP:GDP),adp_c + gtp_c  -> atp_c + gdp_c ,"2.7.4.3, 2.7.4.6",19524.12,407.3333333
ADPT,Adenine phosphoribosyltransferase,prpp_c + ade_c  -> ppi_c + amp_c ,2.4.2.7,19858.28,9.33
KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,h2o_c + kdo8p_c  -> pi_c + kdo_c ,3.1.3.45,19996.58,1.14
ACt2rpp_f,Acetate reversible transport via proton symport (periplasm),h_p + ac_p  -> h_c + ac_c ,,20070.43,22
ACt2rpp_b,Acetate reversible transport via proton symport (periplasm),h_c + ac_c  -> h_p + ac_p ,,20070.43,22
MALTATr_f,Maltose O-acetyltransferase,accoa_c + malt_c  -> acmalt_c + coa_c ,2.3.1.79,20095.39,32.4876
GLCATr_f,D-glucose O-acetyltransferase,accoa_c + glc__D_c  -> acglc__D_c + coa_c ,2.3.1.79,20095.39,32.4876
MALTATr_b,Maltose O-acetyltransferase,acmalt_c + coa_c  -> accoa_c + malt_c ,2.3.1.79,20095.39,109.4666667
GLCATr_b,D-glucose O-acetyltransferase,acglc__D_c + coa_c  -> accoa_c + glc__D_c ,2.3.1.79,20095.39,109.4666667
MN2tipp,Manganese transport in via permease (no H+),mn2_c  -> mn2_p ,,20116.5,22
ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,h_c + gtp_c + adocbip_c  -> agdpcbi_c + ppi_c ,2.7.7.62,20163.46,0.058
ADOCBIK,Adenosyl cobinamide kinase,atp_c + adocbi_c  -> h_c + adp_c + adocbip_c ,2.7.1.156,20163.46,0.191
GNK,Gluconokinase,atp_c + glcn_c  -> h_c + adp_c + 6pgc_c ,2.7.1.12,20273.01,9.4
GTHPi,Glutathione peridoxase,2 gthrd_c + h2o2_c  -> 2 h2o_c + gthox_c ,1.11.1.9,20468.91,241.6128571
IPDDI_f,Isopentenyl-diphosphate D-isomerase,ipdp_c  -> dmpp_c ,5.3.3.2,20507.64,4.80625
IPDDI_b,Isopentenyl-diphosphate D-isomerase,dmpp_c  -> ipdp_c ,5.3.3.2,20507.64,4.80625
CYANST,Cyanide sulfurtransferase,cyan_c + tsul_c  -> h_c + tcynt_c + so3_c ,2.8.1.1,20510.42667,230
AGM3PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase,anhgm3p_c + h2o_c  -> anhgm_c + LalaDgluMdap_c ,3.5.1.28,20535.53,25
