Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
CLt3_2pp,Chloride transport out via proton antiport (2:1) (periplasm),h_c + 2 cl_p  -> h_p + 2 cl_c ,,50347.49,22
PMANM_f,Phosphomannomutase,man1p_c  -> man6p_c ,5.4.2.8,50460.99,134.9
PMANM_b,Phosphomannomutase,man6p_c  -> man1p_c ,5.4.2.8,50460.99,82.93
MC6PH,Monoacetylchitobiose-6-phosphate hydrolase,mchtbs6p_c + h2o_c  -> acgam6p_c + gam_c ,3.2.1.86,50511.04,2
MMETt2pp,S-methylmethionine permease (periplasm),h_p + mmet_p  -> h_c + mmet_c ,,50524.5,22
NTP1,Nucleoside-triphosphatase (ATP),atp_c + h2o_c  -> h_c + adp_c + pi_c ,3.6.1.-,50588.2,8.6095
MAN6Pt6_2pp,Mannose-6-phosphate transport via phosphate antiport (periplasm),man6p_p + 2 pi_c  -> man6p_c + 2 pi_p ,,50605.24,22
G6Pt6_2pp,Glucose-6-phosphate transport via phosphate antiport (periplasm),g6p_p + 2 pi_c  -> g6p_c + 2 pi_p ,,50605.24,22
GAM6Pt6_2pp,D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm),2 pi_c + gam6p_p  -> gam6p_c + 2 pi_p ,,50605.24,22
F6Pt6_2pp,Fructose-6-phosphate transport via phosphate antiport (periplasm),2 pi_c + f6p_p  -> f6p_c + 2 pi_p ,,50605.24,22
GALS3,A-galactosidase (melibiose),h2o_c + melib_c  -> glc__D_c + gal_c ,3.2.1.22,50655.65,7.3875
SSALy,Succinate-semialdehyde dehydrogenase (NADP),nadp_c + h2o_c + sucsal_c  -> 2 h_c + succ_c + nadph_c ,1.2.1.16,50717.575,22.6
ABUTD,Aminobutyraldehyde dehydrogenase,nad_c + 4abutn_c + h2o_c  -> 2 h_c + 4abut_c + nadh_c ,1.2.1.19,50828.54,7.7
DHPStr,"2,3-dihydroxypropane 1-sulfonate transporter",dhps_c  -> dhps_p ,,50980.64,22
GALt2pp,D-galactose transport in via proton symport (periplasm),h_p + gal_p  -> h_c + gal_c ,,50981.17,22
GLCt2pp,D-glucose transport in via proton symport (periplasm),h_p + glc__D_p  -> h_c + glc__D_c ,,50981.17,22
PHDA,Phenylhydantoinase,5phdt_c + h2o_c  -> 5phua_c ,3.5.2.-,51023.64,94.65
PYK,Pyruvate kinase,pep_c + h_c + adp_c  -> atp_c + pyr_c ,2.7.1.40,51041.74,135.5
GMHEPK,D-glycero-D-manno-heptose 7-phosphate kinase,atp_c + gmhep7p_c  -> h_c + adp_c + gmhep17bp_c ,"2.7.1.167, 2.7.7.70",51049.08,192.4024167
GMHEPAT,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,h_c + atp_c + gmhep1p_c  -> ppi_c + adphep_DD_c ,2.7.7.70,51049.08,370
ABUTt2pp,4-aminobutyrate transport in via proton symport (periplasm),h_p + 4abut_p  -> h_c + 4abut_c ,,51078.76,22
CLPNS180pp_f,"Cardiolipin synthase (periplasmic, n-C18:0)",2 pg180_p  -> glyc_p + clpn180_p ,2.7.8.-,51226.47,1
CLPNS181pp_f,"Cardiolipin synthase (periplasmic, n-C18:1)",2 pg181_p  -> glyc_p + clpn181_p ,2.7.8.-,51226.47,1
CLPNS120pp_f,"Cardiolipin synthase (periplasmic, n-C12:0)",2 pg120_p  -> clpn120_p + glyc_p ,2.7.8.-,51226.47,1
CLPNS160pp_f,"Cardiolipin synthase (periplasmic, n-C16:0)",2 pg160_p  -> glyc_p + clpn160_p ,2.7.8.-,51226.47,1
CLPNS161pp_f,"Cardiolipin synthase (periplasmic, n-C16:1)",2 pg161_p  -> clpn161_p + glyc_p ,2.7.8.-,51226.47,1
CLPNS140pp_f,"Cardiolipin synthase (periplasmic, n-C14:0)",2 pg140_p  -> clpn140_p + glyc_p ,2.7.8.-,51226.47,1
CLPNS141pp_f,"Cardiolipin synthase (periplasmic, n-C14:1)",2 pg141_p  -> clpn141_p + glyc_p ,2.7.8.-,51226.47,1
CLPNS180pp_b,"Cardiolipin synthase (periplasmic, n-C18:0)",glyc_p + clpn180_p  -> 2 pg180_p ,2.7.8.-,51226.47,0.025375
CLPNS181pp_b,"Cardiolipin synthase (periplasmic, n-C18:1)",glyc_p + clpn181_p  -> 2 pg181_p ,2.7.8.-,51226.47,0.025375
CLPNS120pp_b,"Cardiolipin synthase (periplasmic, n-C12:0)",clpn120_p + glyc_p  -> 2 pg120_p ,2.7.8.-,51226.47,0.025375
CLPNS160pp_b,"Cardiolipin synthase (periplasmic, n-C16:0)",glyc_p + clpn160_p  -> 2 pg160_p ,2.7.8.-,51226.47,0.025375
CLPNS161pp_b,"Cardiolipin synthase (periplasmic, n-C16:1)",clpn161_p + glyc_p  -> 2 pg161_p ,2.7.8.-,51226.47,0.025375
CLPNS140pp_b,"Cardiolipin synthase (periplasmic, n-C14:0)",clpn140_p + glyc_p  -> 2 pg140_p ,2.7.8.-,51226.47,0.025375
CLPNS141pp_b,"Cardiolipin synthase (periplasmic, n-C14:1)",clpn141_p + glyc_p  -> 2 pg141_p ,2.7.8.-,51226.47,0.025375
PYK2,Pyruvate kinase(2),pep_c + h_c + udp_c  -> utp_c + pyr_c ,2.7.1.40,51355.58,3204
PYK3,Pyruvate kinase(3),pep_c + h_c + gdp_c  -> gtp_c + pyr_c ,2.7.1.40,51355.58,110
PYK4,Pyruvate kinase(4),pep_c + h_c + cdp_c  -> ctp_c + pyr_c ,2.7.1.40,51355.58,3204
PYK6,RE2954,pep_c + h_c + dtdp_c  -> dttp_c + pyr_c ,2.7.1.40,51355.58,3204
GND,Phosphogluconate dehydrogenase,6pgc_c + nadp_c  -> ru5p__D_c + nadph_c + co2_c ,1.1.1.44,51479.77,98
ADSL2r_f,Adenylosuccinate lyase,25aics_c  -> aicar_c + fum_c ,4.3.2.2,51541.29,7
ADSL1r_f,Adenylsuccinate lyase,dcamp_c  -> fum_c + amp_c ,4.3.2.2,51541.29,5.8
ADSL2r_b,Adenylosuccinate lyase,aicar_c + fum_c  -> 25aics_c ,4.3.2.2,51541.29,2.9
ADSL1r_b,Adenylsuccinate lyase,fum_c + amp_c  -> dcamp_c ,4.3.2.2,51541.29,2.9
NADTRHD,NAD transhydrogenase,nad_c + nadph_c  -> nadp_c + nadh_c ,1.6.1.1,51558.89,167.9
SQtr,Sulfoquinovose transporter,sq_p  -> sq_c ,,51572.79,22
NADDP,NAD diphosphatase,nad_c + h2o_c  -> 2 h_c + nmn_c + amp_c ,3.6.1.22,51645.955,19.3
DSERt2pp,D-serine transport in via proton symport (periplasm),h_p + ser__D_p  -> h_c + ser__D_c ,,51658.23,22
BALAt2pp,Beta-alanine transport in via proton symport (periplasm),h_p + ala_B_p  -> h_c + ala_B_c ,,51658.23,22
DALAt2pp,D-alanine transport in via proton symport (periplasm),h_p + ala__D_p  -> h_c + ala__D_c ,,51658.23,22
ALAt4pp,L-alanine transport in via sodium symport (periplasm),na1_p + ala__L_p  -> ala__L_c + na1_c ,,51661.54,22
GLYt4pp,Glycine transport in via sodium symport (periplasm),na1_p + gly_p  -> gly_c + na1_c ,,51661.54,22
ARBt2rpp_f,L-arabinose transport via proton symport (periplasm),h_p + arab__L_p  -> h_c + arab__L_c ,,51683.05,22
ARBt2rpp_b,L-arabinose transport via proton symport (periplasm),h_c + arab__L_c  -> h_p + arab__L_p ,,51683.05,22
PNTOt4pp,Pantothenate sodium symporter (periplasm),pnto__R_p + na1_p  -> pnto__R_c + na1_c ,,51715.79,22
HADPCOADH3_f,3-hydroxyadipyl-CoA dehydrogenase (NAD+),nad_c + 3hadpcoa_c  -> h_c + oxadpcoa_c + nadh_c ,1.1.1.-,51731.21,76.08846667
HADPCOADH3_b,3-hydroxyadipyl-CoA dehydrogenase (NAD+),h_c + oxadpcoa_c + nadh_c  -> nad_c + 3hadpcoa_c ,1.1.1.-,51731.21,213.4339433
URATEtpp,Uric acid transporter,h_p + urate_p  -> h_c + urate_c ,,51756.53,22
GLNS,Glutamine synthetase,nh4_c + atp_c + glu__L_c  -> h_c + adp_c + pi_c + gln__L_c ,6.3.1.2,51902.06,50
MCTP1Bpp,Murein crosslinking transpeptidase 1B:(A2pm->A2pm) (periplasm),murein5p5p_p  -> alaala_p + murein5px3p_p ,2.-.-.-,51945.82,79.47949376
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,accoa_c + acac_c  -> ac_c + aacoa_c ,2.8.3.8,52013.56,290
IMPD,IMP dehydrogenase,nad_c + imp_c + h2o_c  -> h_c + xmp_c + nadh_c ,1.1.1.205,52020.87,13
FCLK,L-fuculokinase,atp_c + fcl__L_c  -> h_c + adp_c + fc1p_c ,2.7.1.51,52257.29,14.80483333
GLYt2pp,Glycine transport in via proton symport (periplasm),h_p + gly_p  -> h_c + gly_c ,,52268.985,22
LCADi,Lactaldehyde dehydrogenase,nad_c + lald__L_c + h2o_c  -> 2 h_c + lac__L_c + nadh_c ,1.2.1.22,52271.29,761.5
GCALDD,Glycolaldehyde dehydrogenase,nad_c + h2o_c + gcald_c  -> 2 h_c + glyclt_c + nadh_c ,1.2.1.21,52271.29,43.65
ASPT,L-aspartase,asp__L_c  -> nh4_c + fum_c ,4.3.1.1,52354.66,180
ALAt2pp,L-alanine transport in via proton symport (periplasm),h_p + ala__L_p  -> h_c + ala__L_c ,,52355.78,22
UDPGPT_f,Undecaprenyl-phosphate glucose phosphotransferase,udpg_c + udcpp_c  -> ump_c + udcpgl_c ,2.7.8.31,52407.01,5.315
UDPGPT_b,Undecaprenyl-phosphate glucose phosphotransferase,ump_c + udcpgl_c  -> udpg_c + udcpp_c ,2.7.8.31,52407.01,1
ALLTNt2rpp_f,Allantoin transport in via proton symport (periplasm),h_p + alltn_p  -> h_c + alltn_c ,,52454.75,22
ALLTNt2rpp_b,Allantoin transport in via proton symport (periplasm),h_c + alltn_c  -> h_p + alltn_p ,,52454.75,22
PROt2rpp_f,L-proline reversible transport via proton symport (periplasm),h_p + pro__L_p  -> h_c + pro__L_c ,,52529.365,22
PROt2rpp_b,L-proline reversible transport via proton symport (periplasm),h_c + pro__L_c  -> h_p + pro__L_p ,,52529.365,22
BGLA1,6-phospho-beta-glucosidase,6pgg_c + h2o_c  -> glc__D_c + g6p_c ,3.2.1.86,52534.63,170
DXYLK,1-Deoxy-D-xylulose kinase,dxyl_c + atp_c  -> h_c + adp_c + dxyl5p_c ,2.7.1.17,52616.79,0.5
GLUDC,Glutamate Decarboxylase,h_c + glu__L_c  -> 4abut_c + co2_c ,4.1.1.15,52675.03,42.055
CPPPGO2,Oxygen Independent coproporphyrinogen-III oxidase,2 amet_c + cpppg3_c  -> 2 met__L_c + 2 dad_5_c + pppg9_c + 2 co2_c ,1.3.98.3,52727.52,900
TRPAS2_f,Tryptophanase (L-tryptophan),trp__L_c + h2o_c  -> nh4_c + indole_c + pyr_c ,4.1.99.1,52771.86,5.4
TRPAS2_b,Tryptophanase (L-tryptophan),nh4_c + indole_c + pyr_c  -> trp__L_c + h2o_c ,4.1.99.1,52771.86,5.4
PSSA140,Phosphatidylserine syntase (n-C14:0),ser__L_c + cdpdtdecg_c  -> h_c + ps140_c + cmp_c ,2.7.8.8,52800.22,1
PSSA180,Phosphatidylserine syntase (n-C18:0),ser__L_c + cdpdodecg_c  -> h_c + ps180_c + cmp_c ,2.7.8.8,52800.22,1
PSSA161,Phosphatidylserine syntase (n-C16:1),cdpdhdec9eg_c + ser__L_c  -> h_c + ps161_c + cmp_c ,2.7.8.8,52800.22,1
PSSA141,Phosphatidylserine syntase (n-C14:1),ser__L_c + cdpdtdec7eg_c  -> h_c + cmp_c + ps141_c ,2.7.8.8,52800.22,1
PSSA160,Phosphatidylserine syntase (n-C16:0),ser__L_c + cdpdhdecg_c  -> h_c + ps160_c + cmp_c ,2.7.8.8,52800.22,1
PSSA181,Phosphatidylserine syntase (n-C18:1),ser__L_c + cdpdodec11eg_c  -> h_c + ps181_c + cmp_c ,2.7.8.8,52800.22,1
PSSA120,Phosphatidylserine syntase (n-C12:0),ser__L_c + cdpdddecg_c  -> h_c + ps120_c + cmp_c ,2.7.8.8,52800.22,1
GLCS1,Glycogen synthase (ADPGlc),adpglc_c  -> h_c + adp_c + glycogen_c ,2.4.1.21,52820.89,284
TARTRt7pp_f,Tartrate/succinate antiporter (periplasm),tartr__L_p + succ_c  -> tartr__L_c + succ_p ,,52905.04,22
TARTRt7pp_b,Tartrate/succinate antiporter (periplasm),tartr__L_c + succ_p  -> tartr__L_p + succ_c ,,52905.04,22
BETALDHx,Betaine-aldehyde dehydrogenase,nad_c + h2o_c + betald_c  -> 2 h_c + glyb_c + nadh_c ,1.2.1.8,52909.49,49.465
BETALDHy,Betaine-aldehyde dehydrogenase,nadp_c + h2o_c + betald_c  -> 2 h_c + glyb_c + nadph_c ,1.2.1.8,52909.49,60.384
LALGP,L-alanyl-gamma-L-glutamate peptidase,h2o_c + LalaLglu_c  -> glu__L_c + ala__L_c ,3.4.13.18,52913.88,0.7
MAN1PT2,Mannose-1-phosphate guanylyltransferase (GDP),h_c + man1p_c + gdp_c  -> pi_c + gdpmann_c ,2.7.7.13,53014.67,22.1
SGSAD,Succinylglutamic semialdehyde dehydrogenase,sucgsa_c + nad_c + h2o_c  -> 2 h_c + sucglu_c + nadh_c ,1.2.1.71,53024.82,69
CITt7pp,Citrate transport via succinate antiport (periplasm),cit_p + succ_c  -> succ_p + cit_c ,,53091.17,22
GGPTRCS,Gamma glutamyl putrescine synthase,atp_c + glu__L_c + ptrc_c  -> h_c + adp_c + pi_c + ggptrc_c ,6.3.1.11,53175.56,5.94
AGM3Pt2pp,GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm),h_p + anhgm3p_p  -> h_c + anhgm3p_c ,,53243.88,22
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),h_p + anhgm4p_p  -> h_c + anhgm4p_c ,,53243.88,22
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),h_p + anhgm_p  -> h_c + anhgm_c ,,53243.88,22
UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",atp_c + 26dap__M_c + uamag_c  -> h_c + adp_c + pi_c + ugmd_c ,6.3.2.13,53342.11,1.3
GGGABADr_f,Gamma-glutamyl-gamma aminobutyric acid dehydrogenase,nadp_c + h2o_c + ggbutal_c  -> gg4abut_c + 2 h_c + nadph_c ,1.2.1.5,53417.08,3.71
3HPADHi,3-Hydroxypropanal Dehydrogenase,nad_c + 3hppnl_c + h2o_c  -> 2 h_c + nadh_c + 3hpp_c ,1.2.1.5,53417.08,0.0017
GGGABADr_b,Gamma-glutamyl-gamma aminobutyric acid dehydrogenase,gg4abut_c + 2 h_c + nadph_c  -> nadp_c + h2o_c + ggbutal_c ,1.2.1.5,53417.08,26.1
ACNAMt2pp,N-acetylneuraminate proton symport (periplasm),acnam_p + h_p  -> h_c + acnam_c ,,53549.89,22
LYSt2pp,L-lysine transport in via proton symport (periplasm),h_p + lys__L_p  -> h_c + lys__L_c ,,53574.45,22
MANAO_f,Mannonate oxidoreductase,nad_c + mana_c  -> h_c + fruur_c + nadh_c ,1.1.1.57,53578.69,76.08846667
MANAO_b,Mannonate oxidoreductase,h_c + fruur_c + nadh_c  -> nad_c + mana_c ,1.1.1.57,53578.69,213.4339433
PIt2rpp,Phosphate reversible transport via symport (periplasm),h_p + pi_p  -> h_c + pi_c ,,53597.455,22
XYLt2pp,D-xylose transport in via proton symport (periplasm),h_p + xyl__D_p  -> h_c + xyl__D_c ,,53606.61,22
TRE6PS,"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)",udpg_c + g6p_c  -> h_c + tre6p_c + udp_c ,2.4.1.15,53609.63,5.2
UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,uamr_c + atp_c + ala__L_c  -> h_c + adp_c + pi_c + uama_c ,6.3.2.8,53624.35,16.61666667
LALADGLUtpp,L-alanyl-D-glutamate transport in via proton symport (periplasm),h_p + LalaDglu_p  -> h_c + LalaDglu_c ,,53693.62,22
LALALGLUtpp,L-alanyl-L-glutamate transport in via proton symport (periplasm),h_p + LalaLglu_p  -> h_c + LalaLglu_c ,,53693.62,22
ALDD19xr_f,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",nad_c + pacald_c + h2o_c  -> 2 h_c + pac_c + nadh_c ,1.2.1.39,53697.54,40.15666667
ALDD19xr_b,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",2 h_c + pac_c + nadh_c  -> nad_c + pacald_c + h2o_c ,1.2.1.39,53697.54,26.7
FEENTERtex,Enterochelin transport (secretion periplasm),h_p + enter_p  -> h_c + enter_e ,,53739.09,22
GLUTRS,Glutamyl-tRNA synthetase,atp_c + glu__L_c + trnaglu_c  -> glutrna_c + ppi_c + amp_c ,6.1.1.17,53814.07,2.2
PPCSCT,Propanoyl-CoA: succinate CoA-transferase,ppcoa_c + succ_c  -> ppa_c + succoa_c ,2.8.3.-,53822.83,70.9
MOADSUx,"MoaD sulfuration (nadh, assumed)",iscssh_c + moadamp_c + nadh_c  -> nad_c + moadcosh_c + iscs_c + amp_c ,2.8.1.7,53827.79,0.5
GLYBt2pp,Glycine betaine transport via proton symport (periplasm),h_p + glyb_p  -> h_c + glyb_c ,,53862.035,22
MCITD,2-methylcitrate dehydratase,2mcit_c  -> 2mcacn_c + h2o_c ,4.2.1.79,53950.16,368.4865
GUI1_f,Glucuronate isomerase (D-glucuronate),glcur_c  -> fruur_c ,5.3.1.12,53985.54,196
GUI2_f,Glucuronate isomerase (D-galacturonate),galur_c  -> tagur_c ,5.3.1.12,53985.54,2.4
GUI1_b,Glucuronate isomerase (D-glucuronate),fruur_c  -> glcur_c ,5.3.1.12,53985.54,196
GUI2_b,Glucuronate isomerase (D-galacturonate),tagur_c  -> galur_c ,5.3.1.12,53985.54,196
AMPN,AMP nucleosidase,h2o_c + amp_c  -> r5p_c + ade_c ,3.2.2.4,53993.18,60.66666667
KARA1_f,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c + nadp_c  -> h_c + alac__S_c + nadph_c ,1.1.1.86,54067.46,0.028
KARA2_f,Ketol-acid reductoisomerase (2-Acetolactate),h_c + 2ahbut_c + nadph_c  -> nadp_c + 23dhmp_c ,1.1.1.86,54067.46,3.8
KARA1_b,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",h_c + alac__S_c + nadph_c  -> 23dhmb_c + nadp_c ,1.1.1.86,54067.46,0.96
KARA2_b,Ketol-acid reductoisomerase (2-Acetolactate),nadp_c + 23dhmp_c  -> h_c + 2ahbut_c + nadph_c ,1.1.1.86,54067.46,0.00417
RMK,Rhamnulokinase,atp_c + rml_c  -> h_c + adp_c + rml1p_c ,2.7.1.5,54067.5,14.80483333
ALTRH,Altronate hydrolase,altrn_c  -> 2ddglcn_c + h2o_c ,4.2.1.7,54091.51,368.4865
AB6PGH,Arbutin 6-phosphate glucohydrolase,arbt6p_c + h2o_c  -> g6p_c + hqn_c ,3.2.1.86,54150.59667,2
FADt,"FAD transporter, periplasm",fad_c  -> fad_p ,,54197.2,22
FMNt,"FMN transporter, periplasm",fmn_c  -> fmn_p ,,54197.2,22
ASNt2rpp_f,L-asparagine reversible transport via proton symport (periplasm),h_p + asn__L_p  -> h_c + asn__L_c ,,54231.64,22
ASNt2rpp_b,L-asparagine reversible transport via proton symport (periplasm),h_c + asn__L_c  -> h_p + asn__L_p ,,54231.64,22
PROt4pp,Na+/Proline-L symporter (periplasm),na1_p + pro__L_p  -> pro__L_c + na1_c ,,54342.78,22
PPAt4pp,Na+/Propionate symporter (periplasm),na1_p + ppa_p  -> ppa_c + na1_c ,,54342.78,22
Kt3pp,Potassium transport out via proton antiport (periplasm),h_p + k_c  -> h_c + k_p ,,54422.72,22
NADHXD,NADHX dehydratase,adp_c + nadhx__S_c  -> h_c + pi_c + nadh_c + amp_c ,"4.2.1.136, 5.1.99.6",54648.8,0.33
NADHXE_f,NADHX epimerase,nadhx__S_c  -> nadhx__R_c ,"4.2.1.136, 5.1.99.6",54648.8,0.33
NADPHXD,NADPHX dehydratase,adp_c + nadphx__S_c  -> h_c + pi_c + nadph_c + amp_c ,"4.2.1.136, 5.1.99.6",54648.8,0.33
NADPHXE_f,NADPHX epimerase,nadphx__R_c  -> nadphx__S_c ,"4.2.1.136, 5.1.99.6",54648.8,0.33
NADHXE_b,NADHX epimerase,nadhx__R_c  -> nadhx__S_c ,"4.2.1.136, 5.1.99.6",54648.8,0.33
NADPHXE_b,NADPHX epimerase,nadphx__S_c  -> nadphx__R_c ,"4.2.1.136, 5.1.99.6",54648.8,0.33
CPMPS,Cyclic pyranopterin monophosphate synthase,h2o_c + gtp_c  -> cpmp_c + ppi_c ,4.1.99.22,54794.05,0.0007
TAGURr_f,Tagaturonate reductase,nad_c + altrn_c  -> h_c + tagur_c + nadh_c ,1.1.1.58,54806.67,76.08846667
TAGURr_b,Tagaturonate reductase,h_c + tagur_c + nadh_c  -> nad_c + altrn_c ,1.1.1.58,54806.67,213.4339433
CRNt2rpp_f,L-carnitine outward transport (H+ antiport),h_p + crn_p  -> h_c + crn_c ,,54844.33,22
CRNDt2rpp_f,D-carnitine outward transport (H+ antiport),h_p + crn__D_p  -> h_c + crn__D_c ,,54844.33,22
CTBTt2rpp_f,Cronobetaine outward transport (H+ antiport),ctbt_p + h_p  -> h_c + ctbt_c ,,54844.33,22
CRNt2rpp_b,L-carnitine outward transport (H+ antiport),h_c + crn_c  -> h_p + crn_p ,,54844.33,22
CRNDt2rpp_b,D-carnitine outward transport (H+ antiport),h_c + crn__D_c  -> h_p + crn__D_p ,,54844.33,22
CTBTt2rpp_b,Cronobetaine outward transport (H+ antiport),h_c + ctbt_c  -> ctbt_p + h_p ,,54844.33,22
GTPDPDP,"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase",gdptp_c + h2o_c  -> h_c + pi_c + ppgpp_c ,3.6.1.40,54869.73,0.023
4ABZGLUtr_f,P-aminobenzoyl glutamate:H+ symporter,h_p + 4abzglu_p  -> h_c + 4abzglu_c ,,54884.38,22
4ABZGLUtr_b,P-aminobenzoyl glutamate:H+ symporter,h_c + 4abzglu_c  -> h_p + 4abzglu_p ,,54884.38,22
GLUABUTt7pp_f,4-aminobutyrate/glutamate antiport (periplasm),4abut_c + glu__L_p  -> 4abut_p + glu__L_c ,,55075.24,22
GLUABUTt7pp_b,4-aminobutyrate/glutamate antiport (periplasm),4abut_p + glu__L_c  -> 4abut_c + glu__L_p ,,55075.24,22
3KGK,3-keto-L-gulonate kinase,atp_c + 3dhguln_c  -> h_c + 3dhgulnp_c + adp_c ,2.7.1.53,55153.29,14.80483333
TARTD,L(+)-tartrate dehydratase,tartr__L_c  -> h2o_c + oaa_c ,4.2.1.32,55393.34,368.4865
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,h_c + 3ophb_c  -> 2oph_c + co2_c ,4.1.1.98,55601.99,75.042
G6PDH2r_f,Glucose 6-phosphate dehydrogenase,nadp_c + g6p_c  -> h_c + 6pgl_c + nadph_c ,1.1.1.49,55702.72,174
G6PDH2r_b,Glucose 6-phosphate dehydrogenase,h_c + 6pgl_c + nadph_c  -> nadp_c + g6p_c ,1.1.1.49,55702.72,288
ARAI_f,L-arabinose isomerase,arab__L_c  -> rbl__L_c ,5.3.1.4,56072.39,23.65
ARAI_b,L-arabinose isomerase,rbl__L_c  -> arab__L_c ,5.3.1.4,56072.39,241.7
GLYK,Glycerol kinase,atp_c + glyc_c  -> h_c + glyc3p_c + adp_c ,2.7.1.30,56229.08,4900
GALCTD,Galactarate dehydratase,galct__D_c  -> 5dh4dglc_c + h2o_c ,4.2.1.42,56399.92,22
GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,gln__L_c + h2o_c + prpp_c  -> ppi_c + glu__L_c + pram_c ,2.4.2.14,56486.31,58.2
CU1Opp,Cuprous Oxidase (Cu+1),4 h_p + o2_p + 4 cu_p  -> 4 cu2_p + 2 h2o_p ,1.16.3,56554.5,15.8
3NTD4pp,3'-nucleotidase (CMP) (periplasm),h2o_p + 3cmp_p  -> cytd_p + pi_p ,3.1.3.6,56568.08,5.93
CRNt7pp,Carnitine/butyrobetaine antiporter (periplasm),gbbtn_c + crn_p  -> gbbtn_p + crn_c ,,56585.76,22
CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),crn_p + crn__D_c  -> crn__D_p + crn_c ,,56585.76,22
PTAr_f,Phosphotransacetylase,accoa_c + pi_c  -> actp_c + coa_c ,2.3.1.8,56617.715,120
PTAr_b,Phosphotransacetylase,actp_c + coa_c  -> accoa_c + pi_c ,2.3.1.8,56617.715,415
AAMYL,Alpha-amylase,14glucan_c  -> malthx_c ,3.2.1.1,56637.59,132
NAt3_1p5pp,Sodium proton antiporter (H:NA is 1.5) (periplasm),3 h_p + 2 na1_c  -> 3 h_c + 2 na1_p ,,56726.99,22
XYLK,Xylulokinase,xylu__D_c + atp_c  -> h_c + xu5p__D_c + adp_c ,"2.7.1.16, 2.7.1.17",56852.27,3308.46
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c  -> pran_c + ppi_c ,2.4.2.18,56868.41,4.4
FUM_f,Fumarase,fum_c + h2o_c  -> mal__L_c ,4.2.1.2,56962.63,60
FUM_b,Fumarase,mal__L_c  -> fum_c + h2o_c ,4.2.1.2,56962.63,129
IPPS,2-isopropylmalate synthase,accoa_c + 3mob_c + h2o_c  -> h_c + 3c3hmp_c + coa_c ,2.3.3.13,57296.25,330
IMPC_f,IMP cyclohydrolase,imp_c + h2o_c  -> fprica_c ,3.5.4.10,57327.49,8.6
AICART_f,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c  -> thf_c + fprica_c ,2.1.2.3,57327.49,13.5
IMPC_b,IMP cyclohydrolase,fprica_c  -> imp_c + h2o_c ,3.5.4.10,57327.49,8.6
AICART_b,Phosphoribosylaminoimidazolecarboxamide formyltransferase,thf_c + fprica_c  -> 10fthf_c + aicar_c ,2.1.2.3,57327.49,5
AI2K,Autoinducer-2 kinase,dhptd_c + atp_c  -> h_c + adp_c + dhptdp_c ,2.7.1.189,57543.19,7.6
AP4AS,Ap4A synthetase,h_c + 2 atp_c  -> ppi_c + ap4a_c ,6.1.1.6,57824.72,3.4
XYLK2,L-xylulokinase,atp_c + xylu__L_c  -> h_c + adp_c + xu5p__L_c ,2.7.1.16,58120.52,35.42
GLUCYS,Gamma-glutamylcysteine synthetase,cys__L_c + atp_c + glu__L_c  -> h_c + adp_c + pi_c + glucys_c ,6.3.2.2,58267.48,33.31666667
CTBTCAL2,Crotonobetaine-CoA Ligase,ctbt_c + atp_c + coa_c  -> adp_c + pi_c + ctbtcoa_c ,6.2.1.48,58557.36,11.5895
CRNDCAL2,D-Carnitine-CoA Ligase,atp_c + crn__D_c + coa_c  -> adp_c + pi_c + crnDcoa_c ,6.2.1.48,58557.36,11.5895
CRNCAL2,Carnitine-CoA Ligase,atp_c + crn_c + coa_c  -> adp_c + pi_c + crncoa_c ,6.2.1.48,58557.36,11.5895
GMPS2,GMP synthase,atp_c + gln__L_c + xmp_c + h2o_c  -> 2 h_c + ppi_c + glu__L_c + gmp_c + amp_c ,6.3.5.2,58677.4,0.43
GMPS,GMP synthase,nh4_c + atp_c + xmp_c  -> 2 h_c + ppi_c + gmp_c + amp_c ,6.3.5.2,58677.4,6.9
